"ID","Sets","N_Sets","Size"
"111100000011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, QGP1_6h, QGP1_24h",6,10
"000000010001","GLUTag_24h, QGP1_24h",2,9
"000010000001","MGN3_6h, QGP1_24h",2,9
"000100010000","aTC1_24h, GLUTag_24h",2,9
"001100101000","aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h",4,9
"001100110000","aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h",4,9
"010001110000","MIN6_24h, MGN3_24h, GLUTag_6h, GLUTag_24h",4,9
"010100000011","MIN6_24h, aTC1_24h, QGP1_6h, QGP1_24h",4,9
"100010100000","MIN6_6h, MGN3_6h, GLUTag_6h",3,9
"110000000010","MIN6_6h, MIN6_24h, QGP1_6h",3,9
"110000010000","MIN6_6h, MIN6_24h, GLUTag_24h",3,9
"110011100000","MIN6_6h, MIN6_24h, MGN3_6h, MGN3_24h, GLUTag_6h",5,9
"111101010000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_24h",6,9
"111111111011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, QGP1_6h, QGP1_24h",11,9
"000001110000","MGN3_24h, GLUTag_6h, GLUTag_24h",3,8
"000010100000","MGN3_6h, GLUTag_6h",2,8
"001000000010","aTC1_6h, QGP1_6h",2,8
"001000010000","aTC1_6h, GLUTag_24h",2,8
"001010100000","aTC1_6h, MGN3_6h, GLUTag_6h",3,8
"001011000000","aTC1_6h, MGN3_6h, MGN3_24h",3,8
"010000011000","MIN6_24h, GLUTag_24h, PCCL3_6h",3,8
"010001000010","MIN6_24h, MGN3_24h, QGP1_6h",3,8
"011000100000","MIN6_24h, aTC1_6h, GLUTag_6h",3,8
"101010100000","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h",4,8
"111011000000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h",5,8
"111100000001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, QGP1_24h",5,8
"000000010010","GLUTag_24h, QGP1_6h",2,7
"000000110010","GLUTag_6h, GLUTag_24h, QGP1_6h",3,7
"000100000100","aTC1_24h, PCCL3_24h",2,7
"010000001001","MIN6_24h, PCCL3_6h, QGP1_24h",3,7
"010000001010","MIN6_24h, PCCL3_6h, QGP1_6h",3,7
"010000001101","MIN6_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,7
"010001001000","MIN6_24h, MGN3_24h, PCCL3_6h",3,7
"010100100000","MIN6_24h, aTC1_24h, GLUTag_6h",3,7
"011100001100","MIN6_24h, aTC1_6h, aTC1_24h, PCCL3_6h, PCCL3_24h",5,7
"011101111111","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",10,7
"100000001011","MIN6_6h, PCCL3_6h, QGP1_6h, QGP1_24h",4,7
"100000100001","MIN6_6h, GLUTag_6h, QGP1_24h",3,7
"101000001000","MIN6_6h, aTC1_6h, PCCL3_6h",3,7
"101010000000","MIN6_6h, aTC1_6h, MGN3_6h",3,7
"110000001000","MIN6_6h, MIN6_24h, PCCL3_6h",3,7
"110000101000","MIN6_6h, MIN6_24h, GLUTag_6h, PCCL3_6h",4,7
"110011000000","MIN6_6h, MIN6_24h, MGN3_6h, MGN3_24h",4,7
"110101000000","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h",4,7
"111101000001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, QGP1_24h",6,7
"111111000000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h",6,7
"111111111111","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",12,7
"000000011100","GLUTag_24h, PCCL3_6h, PCCL3_24h",3,6
"000001001001","MGN3_24h, PCCL3_6h, QGP1_24h",3,6
"000001001111","MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,6
"000010001000","MGN3_6h, PCCL3_6h",2,6
"000011000010","MGN3_6h, MGN3_24h, QGP1_6h",3,6
"000100101000","aTC1_24h, GLUTag_6h, PCCL3_6h",3,6
"001000001111","aTC1_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,6
"001100000011","aTC1_6h, aTC1_24h, QGP1_6h, QGP1_24h",4,6
"010000001110","MIN6_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,6
"010001000101","MIN6_24h, MGN3_24h, PCCL3_24h, QGP1_24h",4,6
"010001001100","MIN6_24h, MGN3_24h, PCCL3_6h, PCCL3_24h",4,6
"011100010000","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_24h",4,6
"100000100010","MIN6_6h, GLUTag_6h, QGP1_6h",3,6
"100011000000","MIN6_6h, MGN3_6h, MGN3_24h",3,6
"101000000001","MIN6_6h, aTC1_6h, QGP1_24h",3,6
"110000001100","MIN6_6h, MIN6_24h, PCCL3_6h, PCCL3_24h",4,6
"110000100011","MIN6_6h, MIN6_24h, GLUTag_6h, QGP1_6h, QGP1_24h",5,6
"111010100000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, GLUTag_6h",5,6
"111101100000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h",6,6
"000000101111","GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,5
"000000110001","GLUTag_6h, GLUTag_24h, QGP1_24h",3,5
"000001000101","MGN3_24h, PCCL3_24h, QGP1_24h",3,5
"000010101000","MGN3_6h, GLUTag_6h, PCCL3_6h",3,5
"000011000001","MGN3_6h, MGN3_24h, QGP1_24h",3,5
"000011100000","MGN3_6h, MGN3_24h, GLUTag_6h",3,5
"000100001101","aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,5
"000101000010","aTC1_24h, MGN3_24h, QGP1_6h",3,5
"001000000100","aTC1_6h, PCCL3_24h",2,5
"001000001010","aTC1_6h, PCCL3_6h, QGP1_6h",3,5
"001000001011","aTC1_6h, PCCL3_6h, QGP1_6h, QGP1_24h",4,5
"001000100001","aTC1_6h, GLUTag_6h, QGP1_24h",3,5
"001001100000","aTC1_6h, MGN3_24h, GLUTag_6h",3,5
"001100000010","aTC1_6h, aTC1_24h, QGP1_6h",3,5
"001101110000","aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h",5,5
"001111000000","aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h",4,5
"010000100011","MIN6_24h, GLUTag_6h, QGP1_6h, QGP1_24h",4,5
"010000100100","MIN6_24h, GLUTag_6h, PCCL3_24h",3,5
"010001010011","MIN6_24h, MGN3_24h, GLUTag_24h, QGP1_6h, QGP1_24h",5,5
"010011000011","MIN6_24h, MGN3_6h, MGN3_24h, QGP1_6h, QGP1_24h",5,5
"010100000010","MIN6_24h, aTC1_24h, QGP1_6h",3,5
"010101000010","MIN6_24h, aTC1_24h, MGN3_24h, QGP1_6h",4,5
"011000001000","MIN6_24h, aTC1_6h, PCCL3_6h",3,5
"011000001100","MIN6_24h, aTC1_6h, PCCL3_6h, PCCL3_24h",4,5
"011011000000","MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h",4,5
"011100000010","MIN6_24h, aTC1_6h, aTC1_24h, QGP1_6h",4,5
"011101010000","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_24h",5,5
"011101100000","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h",5,5
"100001000011","MIN6_6h, MGN3_24h, QGP1_6h, QGP1_24h",4,5
"100100100000","MIN6_6h, aTC1_24h, GLUTag_6h",3,5
"101000101000","MIN6_6h, aTC1_6h, GLUTag_6h, PCCL3_6h",4,5
"101001000000","MIN6_6h, aTC1_6h, MGN3_24h",3,5
"110000001011","MIN6_6h, MIN6_24h, PCCL3_6h, QGP1_6h, QGP1_24h",5,5
"110000001111","MIN6_6h, MIN6_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,5
"110000100001","MIN6_6h, MIN6_24h, GLUTag_6h, QGP1_24h",4,5
"110001100011","MIN6_6h, MIN6_24h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",6,5
"111001000000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_24h",4,5
"111100001000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, PCCL3_6h",5,5
"111100010000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_24h",5,5
"111100101000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h",6,5
