gene_symbol	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
AU022252	24.3342929285043	19.9893863836274	20.3039461780191	20.9620576536174	19.6325936400802	19.9276482335618	21.4433423508017	20.9383981413896	18.9400306030651
P3h1	17.1606923181032	14.3657776582406	14.2992857386751	23.5960086213726	22.5610729851761	22.1934306897306	26.5261637438762	26.096455421651	25.2750936788982
Cldn19	0	0.0447978397971772	0.0646128721571021	0	3.97019396965828	1.52748364954879	0.341604834371027	0	0
Ybx1	715.503049507483	675.879628123369	735.842352760298	591.254455354464	577.064898756514	601.994697175332	657.112725435202	667.962734158338	648.833024130024
Ppih	22.177955219486	22.8933300455445	21.6107915479457	23.1176337823478	24.5426166700282	17.8542517707488	25.8227045195143	23.1982902612919	23.9662970388252
Ccdc30	14.6412400238809	12.108574684601	14.2164910760758	20.3454616523675	14.1392466902317	22.0500902665577	14.2872928550466	13.9463034939132	9.89352634745991
Ppcs	11.3256721610621	11.6845210035426	11.5942414679907	13.5341508805276	13.6254851375356	10.8877272058704	15.9346455061428	15.9138845452482	14.6693857240419
Zmynd12	1.720083099924	0.756532821451864	1.04569815756182	0.419420872782164	6.59013643540109	0	2.06032948988467	1.8473416884654	0.879988978957096
Rimkla	29.8037719704913	25.3018199174457	29.0364525300837	41.7519162828544	38.1365510779472	32.6306580958223	22.7654441432131	18.0106346904546	17.6910256688419
AA415398	15.0056224215964	11.9059562703017	11.5480731588923	22.899453487941	20.9717315529025	19.8880520990512	15.7231617351089	21.6161875804819	12.2550725944351
Foxj3	86.1647056634929	83.3443744409491	89.3140264400572	163.985602420529	136.552811841903	134.018785736072	102.748351060699	106.733057106873	99.6951807278387
Guca2a	0.231136166552287	0.338863659608647	0.244375112908468	0.422697598350775	5.39030181265144	5.33276434573242	0.492189822583561	0	0
Guca2b	0.107863544391067	0.316272748968071	0.342125158071856	0	3.95288799594439	0	0.344532875808493	0	0.110365284444202
Hivep3	9.36228303494134	10.0340606090968	10.2929573107972	8.51049282745335	10.6599029306841	7.46228377389376	7.8599784770411	6.75232605853859	5.60818605356639
Edn2	0.988460133487274	0	0.165012134118258	0.697700215927323	3.98639683893836	0.800200437730481	0	0	0.106461689174472
Foxo6	26.0357336975591	29.2502249638983	34.9162542652448	31.3991190673645	35.4804676275791	41.6903478452631	17.8263054413571	14.1638608492122	17.026289926123
Scmh1	70.1335503129663	65.9383020535672	68.2637469199354	73.5797705084377	67.3390680189808	72.4076478881857	62.4097855176963	54.8096491530335	58.1027372554216
Slfnl1	1.54265682103002	0.358992904617561	0.776674592671636	1.43298164253611	4.89471220218065	1.97733978767226	2.07267223812147	1.62570897738064	0.826800087777226
Ctps	71.9914392028219	67.8846425326661	69.0068341012955	91.9423271473714	78.9116272757845	91.4028580219251	78.6885067188491	79.1731761718362	77.8717862810369
Gm8439	0	0	0.163305564712103	0.564941897557121	4.11669828173857	0	0	0.603221792393236	0
Cited4	2.77804359163004	3.51972852587678	2.1756766809021	7.46384948439205	9.4266009442235	1.18694277965427	3.34125682421591	1.74125548657443	2.78983787386776
Kcnq4	7.29109468057454	4.80956170803356	7.57251544139935	6.25071926223597	12.7032590489238	6.93485809291106	6.30912113343577	3.9240634193861	5.74672739064557
Nfyc	53.6402491025849	46.2786962216912	48.471786264519	65.771666133139	58.0690645725181	54.7520739527071	55.6414876720591	56.6859731479556	54.0993983207285
Mir30c-1	9.45320950843063	4.26435167147961	2.30646173981026	0	7.26782266874351	0	0.774231181592118	4.73314477551996	2.2321068763996
Mir30f	0	0	0	0	2.3436094837615	0	0	0	0
Mir30e	9.84841057483659	5.50039563422732	2.97500137453788	5.14588380600943	11.7180474188075	0	6.74086061364442	3.66304247844588	3.5988679710066
Rims3	57.6965079823663	61.7007021016523	60.5109798513988	72.3619061577907	59.3650435047385	78.8361238828338	59.9494256780386	51.3950729729132	54.4935652158477
Exo5	21.5618683209883	18.4042132314083	23.0375734581049	21.9264643647015	24.5949449542086	19.5713344748739	21.2259952633775	20.6179591965188	21.962137004977
Zfp69	5.502683355991	3.39819281886167	5.73103056668591	6.97582161745271	6.01962638976303	8.73755241080242	5.6256214070253	7.09210889333621	3.75354013084343
Smap2	166.440318102375	157.929517952869	159.415013413447	178.042265522206	170.188806284472	160.325597960453	133.045432041985	131.203750763253	120.243072380689
Mir7015	0	0.988352340525221	2.1382822379491	0	0	0	0	0	0
Col9a2	0.18854516135365	0.115175800789538	0.274098815643876	0.229871964143174	6.51704370648317	2.9906981399956	0.552055591244489	0	0.0482295489195349
Zmpste24	125.228631625105	116.716631383027	123.723628592516	122.265999196428	122.389709961893	114.63629477901	149.44490164078	157.176560597735	150.276975063616
Tmco2	0	0.87975729893761	0.666168597080108	0	1.19951083452605	3.11510573742367	0.191673366235601	0.820236215618619	0
Rlf	39.4009065570651	32.1507939497687	40.7848517974801	40.8956449392998	34.1181138270785	31.3676141216961	35.0759058378152	38.2163525150662	34.0498271642888
Gm12888	0.109598859669163	0.160680482117563	0.115876429490891	0	0.182567377227822	0	0.350075741719044	0.784716127897382	0.0560704239343958
Gm12886	0	0.27525913748309	0.119103623349645	0	0.750607737183838	0	0	0	0.115264004641465
Gm12887	0	0	0	0	0.664443983069515	0	0	0	0
9530002B09Rik	0	0	0	0	1.56808780004405	2.86568750699964	0	0	0
Ppt1	94.7018555808939	81.9543505147909	82.258251002114	68.5539883534638	63.9138875178406	67.7807967248728	86.1815889908447	72.6584238103285	74.9846445212956
Cap1	161.023749325422	179.800143705259	169.950177871677	161.598350629613	166.460621006302	182.960568653561	194.870184380699	201.645989036558	201.982824399364
Mfsd2a	0.87294217321143	0.764938741690218	0.668337518093858	1.13767911742162	6.81935857228461	2.60437328512514	2.24346988898553	1.60662746845324	1.9403756986004
Mycl	1.50137575435165	1.48468648533046	1.9048453124088	2.1319464021622	3.88384191741261	3.76961235137745	2.67050591510949	1.63257324435102	3.21697936098276
Trit1	14.0185937246477	10.9673988714523	15.2867967666881	27.476370356128	22.1999802677437	19.0967698441964	23.7274219473746	24.0597311697436	17.4633364118121
Bmp8b	0	0.0860606119641009	0.069821460830991	0.187865599267011	3.22684734362807	1.01576463728237	0.421876990785909	0	0.157664692063146
Oxct2b	0	0	0	0	3.81287749440261	2.12945524358967	0.353770209044659	0	0
Ppie	23.3273384530682	23.1247369536586	21.9100700546017	34.3176406332273	40.796462349177	26.5268500416998	43.2435955424016	44.4332070501894	39.2892853355303
Hpcal4	1.00165630216984	0.924615087266931	1.30907734601871	0.814138108603383	4.17134276129518	0.240730978633665	1.24422878623875	0.59764601056329	0.683258854684658
Nt5c1a	0	0	0.0620353867764018	0	4.10503492531932	4.96370933359198	0.499775703801984	0	0
Heyl	0	0.153530460664112	0.166080173821289	0.348206318147152	3.52058547339988	0.82368381333025	0.212862323977003	0.204490235447222	0.0584458699616253
Pabpc4	51.718820589893	47.8281423820014	52.0320061713517	76.7364455404411	70.2059163950896	63.5331874015617	98.9591450038953	104.740954204165	104.631548620993
Bmp8a	0.134829430488834	0.184492436898041	0.171062579035928	0.95341791628008	7.00739235644687	2.17754544117407	1.00488755444144	0.421249885021277	0.579417743332063
Oxct2a	0	0.0350440719078195	0.113725814317514	0.131141637161459	2.15014809147315	1.51661257477893	0.458104654814616	0	0.220119126869323
Macf1	38.343320823758	41.7595795636837	39.0018311717241	45.0819867169759	44.3888314412343	37.9463425920706	49.1481756356563	44.0129481911143	35.7124116414341
D830031N03Rik	9.34445337042096	9.42995875277198	9.57505856906673	7.28179811669774	6.0706563550015	8.86334394124861	8.99574468180037	8.14014336835724	6.52550845576718
Mir6398	0	0	0	0	2.1138438480986	0	0	0	0
Ndufs5	0	0	0	0	0.423599356593433	0	0.81225825337955	0	0
Akirin1	161.931852718742	164.91555408217	170.975965071859	226.722863722998	219.160119268815	223.241066084922	152.873743544393	148.095107257269	153.896705498397
Rhbdl2	28.5568069045209	22.3495944217371	30.8109427482953	30.601870500158	26.5750294789718	41.7156257776275	15.2874078008698	16.1300284650711	14.092658342341
Mycbp	37.6541827692454	38.5064734097153	35.9404206459323	27.4701254039318	32.6684958342511	43.2366887020999	30.3931358457323	28.3102616330797	28.7618620066709
Rragc	101.7460340837	92.6972853652389	95.338177203293	115.690894480309	93.1616245747585	93.4427459352628	144.397086323114	151.559436759766	149.132890499545
1700057H15Rik	0	0	0	0	4.84027101544211	0.380911738980887	0.0703128317976515	0	0
4933407E24Rik	0	0	0	0	4.48951992938401	0.930078138248402	0	0	0
Pou3f1	3.89168801357805	4.53919692871118	3.63721098282371	4.4301329687616	8.16603862647527	5.37410360422647	4.87611312606039	3.02292276294338	4.31194599688977
Utp11l	30.7631808662037	36.7048961551612	35.3972094290503	56.3005405568293	61.7650532992169	58.8861036707844	46.8535789137257	50.0372371294948	50.4460838445903
Fhl3	4.07128867849964	5.36819027922067	4.75117430200678	5.9002062392939	13.0518880686159	4.57847621374455	7.81077498865544	7.79999787101711	7.42755089375226
Sf3a3	88.9349860412384	86.6255590573714	90.2387865368077	112.287611865957	111.427099344615	104.047040357808	105.897671197236	121.782671532963	115.815261366079
Mir697	9.49990849682796	4.06221879408531	6.90527841979892	10.8582869301116	9.89046204156227	0	6.32170414327509	6.18348455077103	4.25260729051055
Inpp5b	31.3536030381699	28.433427872013	32.3698945519047	62.2729222055041	59.4580158516187	42.6906519132299	54.4722356210941	51.2655219989643	46.878097514829
Mir698	0	0	0	0	0	0	0	0	0
Mtf1	18.624165389814	19.6452998310661	19.8523155542154	21.5172704850417	22.8581007282664	20.2520653570077	20.7415021814207	19.7293551181502	20.4098400481796
1110065P20Rik	56.2249341629029	58.1078541411154	53.4289945020352	68.9629467545516	61.4013382333523	66.6245624296229	65.8320035665571	72.0879068330374	69.8690462150699
Yrdc	49.3506950206235	57.759463421582	52.441578283601	108.301979253117	108.638515297454	107.055644598262	107.394932459224	130.657943745338	107.680723471235
Maneal	56.9339148502026	53.303614017501	54.323503280203	46.2368447392912	42.3001315697619	39.2868484436246	56.4745858035923	55.9194933544929	53.2764431398416
Epha10	1.31041810588199	0.830778472298471	2.03452757262723	2.53320414042639	5.97829898229127	4.01756963660615	1.3826565610702	1.06042473792295	1.01466806566724
1700125G02Rik	0	0	0.131840137985301	0	0.830875038558988	0	0.265535935112518	0	0
Cdca8	66.5888227919763	56.4856127308289	64.427259164577	75.3126151452696	69.2186358229779	68.7202883912956	53.7776407627278	48.3426989821465	48.0150075128098
9930104L06Rik	10.4490517170137	7.20267647208047	8.76826543800745	16.8427703815999	17.5157326067124	9.22025650531121	13.9124764262573	16.9244515328059	14.7878977321226
Rspo1	6.03424190541086	4.6561418877524	4.55171966027987	5.93712657225515	9.52267059596001	2.91741560898847	13.86397286514	14.8379185236502	11.1929895892157
Gnl2	84.9872931040427	73.0522758041995	82.6050275276472	145.182535113546	108.173035525379	117.865438347805	108.227305924183	113.540288158501	102.259306531407
Dnali1	0	0.212263589911457	0.262416228626543	0.226951730658134	2.68739879441874	2.02812066839935	0.132131495995587	0	0.476168533076616
Snip1	37.5504313247871	34.878422724909	37.1408128590694	44.7968551542498	45.8117693840828	45.7585585795104	33.2529794973874	37.758484317606	36.9972914820694
Meaf6	121.287950784167	118.45352739933	116.352260704611	136.625325035674	147.277710886916	141.80831382465	116.672493399692	111.317263393466	115.907506398202
Zc3h12a	1.56892428205189	1.53344363136034	2.31742531314269	1.60338768144465	7.99417309826381	0.443604877244527	4.10245919857528	5.07602356995335	2.45518493736835
Grik3	0.863689091030036	1.10169652434026	1.37747745163516	0.776363831397487	3.14566357761608	1.30876483038219	0.787102928221166	1.00048038740633	0.509263018018939
2610028E06Rik	0	0.160680482117563	0.0193127382484818	0	1.82567377227822	1.15896938927857	0.0388973046354493	0	0
Csf3r	0	0.0156299851232059	0.101445562067266	0.350942409305313	2.71712767427945	2.15225642814339	0.0851329072914486	0	0.04908759871499
Mrps15	54.8517171370354	54.5553633081384	58.2852881235422	60.7338638824396	61.8333129041892	86.0936333427946	76.619997754426	73.202272130563	87.2568176373353
Oscp1	27.6375271269677	26.8655476353919	24.1013819533891	29.625497103742	28.5545727993617	31.1077920167725	18.283296662328	16.560288230855	19.508807714951
Lsm10	37.6400057426003	34.1560712467161	36.4983465456722	49.1742835846991	55.9693988871146	29.5745492558143	56.9818885510212	41.0637894489525	53.9617338180635
Stk40	26.886266542855	27.769091401237	28.1958625481648	86.8736074186238	80.2472282287502	86.5636149775196	66.4437138894078	75.1943591703351	68.6717325430593
Eva1b	39.1252651114774	38.7509531017372	35.3922577315713	32.4760766685936	27.3667560847747	37.8862323901998	30.1308281704859	22.4996270209457	32.4537094682585
Sh3d21	9.03496183688065	7.44490835199754	6.70142062202604	11.0492086991577	16.0227184465412	9.51406697420189	8.19893527482409	5.68180686841413	5.48981956127089
Thrap3	124.096671293647	111.232694564273	124.230887072452	156.621817768391	133.493122774146	127.651942465868	134.914838171923	145.173983948169	133.769764454833
Map7d1	70.0507779432833	79.5445578916743	86.2688895338897	71.5398416110112	78.4507009236453	66.992917715979	65.2027958706681	72.1822750411532	67.020997600168
Trappc3	103.518086312892	117.242509490075	102.256197723069	101.205112879017	100.59607841445	83.8127135228965	106.816163885213	111.416569907698	104.97003885115
Col8a2	0.194258980893633	0.160655748725411	0.110592293073331	0.109309930767229	3.93289164811326	1.26413562571045	0.254561349015741	0.68084719352319	0.275212438697157
Adprhl2	24.3639146321929	25.5237657061952	22.5582523816384	30.8000706166705	39.718013356379	49.1175663422723	32.8414378694645	32.7638799460993	32.7707445476864
Tekt2	2.55580285906545	1.52420601912323	1.37399661876247	3.06319009246612	7.93752609627387	3.58135222683056	3.45916541976398	4.51137761736307	1.95022992592165
Ago3	27.2350151770923	20.9605777312173	25.828545004927	33.5146323690406	25.6983609666683	18.3672464193334	26.840622728342	22.5439034734373	18.5691217284902
Ago1	71.5527419332591	64.3201346499902	69.2968114622326	60.4733619565785	54.9102659171004	49.0749199086795	49.7192544732697	44.5103219393942	44.9116713849525
Ago4	5.30964541474201	4.3456583817726	6.39025368090048	7.9254449253726	8.03461641143567	10.6857006774376	7.30170885396928	4.84492276899183	5.88975908397216
Clspn	42.5175488709711	36.0330012674181	38.3603198111077	48.1783629561429	42.3260953253561	46.1808971810616	28.5612359913503	31.4880484106631	25.5067419729134
Mir7119	0	0	1.15974629854866	0	0	0	0	0	2.24471764971259
5730409E04Rik	18.0213347371416	16.8161832901412	17.71141799055	15.2832448636623	15.7083401335411	17.6949401874741	18.463583186935	18.1779284884838	19.2279133038691
Psmb2	272.396837606249	299.992357167589	273.13463032844	292.325082892503	290.961746014668	248.421611808086	306.947471174839	310.541237552875	318.430557408196
Tfap2e	0.275136107563422	0.0597586677313313	0.12928678623405	0.260899793030237	5.09239661091303	0.999211080368695	0.650983232514866	0.318374972146454	0.250237772948593
