Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Suclg1	160.361371101951	142.272796469665	164.495328773933	120.016100710487	81.5164137978512	92.5495526909819	135.581925899623	92.7146698693598	129.790796656088
Mapk8	18.7194858373669	20.9437983731131	17.8626228431597	27.559467293634	28.1657491995764	25.6083892390089	19.6445223342374	20.7408163933364	20.2165119048835
Ift172	14.7411060593572	12.9122153721242	15.4814004939814	8.91068595792655	8.83343091946741	9.08340128291026	12.305075270477	9.14306075824676	16.6266068772471
Nrxn3	0.00841196016229316	0.0201246533479359	0	0	0	0	0	0	0
Plod1	100.071757161899	74.6407799994813	63.9159030287416	54.7451583710403	40.0765571959412	44.2003532025512	110.224954408747	91.9956099120431	94.1248198602115
Lancl1	32.4081491912954	29.8565507723531	27.9689290357069	19.781086211233	6.51715119197775	17.7593223046597	31.4989754669668	14.7516488621531	30.38495860808
Atp5c1	192.464498546701	160.834355732684	187.066237218083	137.373668219694	79.9789675180817	94.506397904698	133.590918557427	79.661904852719	133.215418346962
Csnk2a1	44.9685675347578	47.9089276761308	49.5636510085774	34.1382010343159	39.9728736216072	40.0426892354259	39.6473759874041	51.9404039030217	40.4884707015916
Clasp2	7.76695041104429	8.70830287733894	6.74195118161526	7.5704069167427	7.80089594798108	6.86400521500332	8.02657054797709	7.71094685192674	7.69910112815473
Vprbp	47.2250816641092	52.8491741216356	51.8259415704894	51.9945875068616	45.7689305950696	61.2098604363637	52.4548874904636	53.1289339244875	58.2655308857157
Tmem5	39.7481876819012	40.1749481355227	42.8832561837389	37.9193135714615	36.1097733162998	43.6596566488814	54.5699286241967	54.4075951431641	47.7881600656277
Sec14l4	9.89259227594585	9.71613145315158	10.8991186266336	7.61025958255837	8.62278305851427	7.84994233263729	17.9573960150788	13.0568947518838	12.3268838264234
Ephx3	0.218378158155903	0.348296524381876	0.864992852079568	0.54429574042169	0	0.944268813539511	0.0716211356684101	0	0.698984206606865
Slc30a9	48.4413578651051	48.9335101792975	47.7111715350508	43.4809778058098	42.5341204370695	40.2370712029834	46.0680391874806	46.6698996802258	46.8243829530272
