Geneid	KRS7_19_GLUTag_1_DMSO	KRS7_22_GLUTag_2_DMSO	KRS7_25_GLUTag_3_DMSO	KRS7_20_GLUTag_1_Tg6h	KRS7_23_GLUTag_2_Tg6h	KRS7_26_GLUTag_3_Tg6h	KRS7_21_GLUTag_1_Tg24h	KRS7_24_GLUTag_2_Tg24h	KRS7_27_GLUTag_3_Tg24h
Rnh1	46.5238249413178	43.5619795538751	44.3808347418571	21.7246132785045	42.1893645784255	36.4382967152352	55.8019429880619	36.1178739337685	57.2564145655893
Hras	49.9591407900498	40.9522179659771	49.8931795184828	31.6095170034513	37.1462819082032	38.9203700580208	41.0474292516129	36.7889907375598	46.9311533205938
Lrrc56	19.8460949538051	22.3387266009157	21.2991934620932	13.4500486448416	18.4013697695501	16.983316475921	17.6200690152193	22.022630413109	17.4353859873876
Lmntd2	1.83646879818019	1.30339660828012	1.42880150129403	1.20592480854036	1.39282740023518	1.2369791383186	2.25104406884751	2.54663794527411	1.34218409097545
Rassf7	20.8724421557084	22.9745005456974	19.0141809758315	12.0937035756244	22.190422812246	17.9631907359572	15.2891498165985	13.0651110765411	16.2925231491335
Mir210	0.145246815559802	0.19939637776154	0.103461713230783	0	0.0937717933290647	0	0	0	0.036814247496637
Phrf1	149.5858533325	146.191474444134	144.227463854752	161.476717876874	146.50987670239	148.571786826093	140.522193805011	148.237593184827	139.009197230783
Irf7	9.37327399511669	9.79889197988763	8.90089481774921	10.527640154704	10.1450187280614	12.6436960353807	13.4707638194603	10.2891596933614	11.1010078662684
Cdhr5	15.094618533034	12.6096895782157	14.8804202980635	9.18526893106874	7.67175206391821	10.1036906017006	11.2063970294777	11.2699741855298	10.5521659552922
Sct	13.9701229211592	5.824727693125	12.1354104283806	3.42078000114366	2.74438519694304	3.75316491700566	10.8609979060994	2.57748803479815	10.6883522519044
Drd4	0	0	0.0281233221463888	0	0.0339858326291243	0	0.136191548583498	0	0.0400279063469738
Deaf1	3.06473851338708	3.28724156653064	2.75122647126805	2.64625969393528	3.0597860440063	2.87017579963956	3.25603108995448	3.49497121274273	3.40578933371705
Tmem80	8.76481993317224	7.94384417236507	9.31761199805385	5.1814543370786	8.33998634725167	7.03815160246229	9.34560351919798	7.6210775921966	8.31669141295214
Eps8l2	0.468344251167828	0.658403464255671	0.365687193843751	0.18875570316967	0.197699863422058	0.184615674733517	0.316897347762759	0.385925949489598	0.109575231181494
B230206H07Rik	0.00708074278071486	0.010935584122832	0	0.0033725964161194	0	0	0	0	0.00269202683912133
Taldo1	37.8806071572325	23.63287897894	34.4952108969182	13.9393636022713	18.0210003265189	18.9349012975204	32.3082635152359	22.6497375800773	25.8973247540329
Pddc1	6.10329098802577	7.44731572492945	6.0361640425424	3.25779649387332	7.613578240166	5.93308954628505	8.67536114170607	7.55024188557088	7.84720319459773
Cend1	22.3630506874688	20.9935427317562	27.5102491155643	20.9192610110161	16.8621944196294	17.8813999188717	19.4976037672483	17.5919320097461	22.7317040516871
Slc25a22	20.7663829984132	22.4642903235457	19.9909907427802	10.5047638401895	20.3964065040933	15.7287755162302	16.8789731266228	17.5735986662378	19.762636847727
Pidd1	7.22261276758478	6.72502961054611	7.80772464424959	5.84953070882561	8.45052870871718	7.55449224042357	8.08144880779846	9.23606795360445	7.68770892496101
Rplp2	34.1503805688883	36.1998313712028	30.6648594180693	10.9485448892066	24.9155269236523	11.6498060455787	30.0836757508894	13.2611947460559	28.7620269037729
Snora52	0.732880781286745	0.712658809265128	0.478539529575688	0.46543348590347	0.47315009897321	0.449388792867979	0.610951404515832	0.494311404321247	0.541788072217011
Pnpla2	16.480873592389	15.0533261192345	16.5270245768442	14.530721498666	15.0986331031848	14.8054043559857	16.0774954135241	17.153937475549	16.4571446783862
Cracr2b	0.836633139586166	0.81722960083156	0.366737013538996	0.817421392238901	0.830973757485228	0.507370350841063	0.776991625396923	1.1949670763287	0.946082507405669
Cd151	13.6809710598386	12.1555616150428	13.9833795274871	7.60287082064532	10.3939978699972	8.8000672497444	13.1164694059734	10.435338718827	13.7673457936994
Polr2l	8.00626772705361	4.11314282857137	6.61912944363374	1.81216667229434	3.8072367453775	3.22118059477892	4.5877250114001	2.78796701261475	4.13190838746277
Tspan4	1.94127694607925	1.5953912130934	1.81180609535635	0.451180149513893	1.59681786526452	1.54889530935492	1.36147530629852	1.10241273380166	1.31604787193968
Chid1	8.44105540246237	8.34980341049718	7.75191540828894	7.55924353852675	11.6985635555307	9.78959570684509	14.6549808625636	12.3553184096579	15.8471021450056
Ap2a2	178.800479643574	192.502202197285	171.639714412449	142.1208514412	195.091079175743	186.780793171685	174.947033214836	164.387975306624	182.517935573495
Gm16982	0	0.0825825145827659	0.0285666454511595	0	0.0517823548383652	0.0421558945033791	0.0553353641732363	0	0.0203294440609508
Mir7063	0.0389898659584623	0.0334535649351482	0.0138865637609803	0	0.00839065934880919	0	0.0201743515214924	0	0.0296471059222198
Muc6	0	0.132419039970786	0	0.673839968779876	0.290611083038376	0	0.266186704435235	0	0.146689945890036
Muc2	1.93664553592447	4.08643990662267	0.996308951704097	2.16373603110814	2.8865050984129	0.263892185415425	0.519591756542964	1.74163110650279	0.436321812620934
Muc5ac	0	0	0.077734973546721	0.0346527500396183	0	0	0.0376443663779053	0	0
Muc5b	0	0	0	0.0290134136134178	0.0786518371282315	0	0	0.130504476522128	0.0231586820671886
Tollip	208.357135471793	214.87762539682	209.895673257854	113.841737490532	182.248920599991	160.496239710959	177.185924209652	164.741464115693	182.958220067204
Brsk2	113.054629567699	113.242610588727	122.589014669777	117.882165897141	130.066723708052	143.786606034643	103.201431839696	115.800126731941	116.223359860964
Mir3104	0	0	0	0	0	0	0	0	0
Mob2	56.3454160635756	57.7293103213095	54.3751194986441	48.9392059490816	74.2246693112521	63.1480282293619	62.8109184286243	51.6797727027625	62.795738736261
Dusp8	10.1713718402649	15.0110112551143	12.9306785744952	12.5213003421225	20.1596006542454	24.9276253071355	11.9815579532688	13.5598396267846	15.8276347981987
Krtap5-2	0	0	0	0	0	0	0	0	0
Krtap5-3	0	0	0	0	0	0	0	0	0
Krtap5-5	0	0	0	0	0	0	0	0	0
Gm4559	0	0	0	0	0	0	0	0	0
Krtap5-1	0	0	0	0	0	0	0	0	0
Krtap5-4	0	0	0	0	0	0	0	0.0265478284431999	0
Ifitm10	0	0.0504339664870681	0.0523378070991461	0.0466623673818686	0.12649600520082	0.231705232423807	0.101381578765045	0.209890773612303	0.223477101680849
Ctsd	334.482875297172	315.284764018806	302.661119504158	200.396853479113	236.046208761222	252.829129645386	414.652695652627	339.953839940525	428.951814711371
Syt8	0	0	0	0	0.0395478481271186	0	0	0	0
Tnni2	0	0	0	0.00508576658067189	0	0	0	0	0
Lsp1	0.0116317817004242	0	0.0497130649514392	0.0110805621644043	0	0	0.0120371613021506	0.0332274578028907	0
Prr33	0.0577996734975287	0.0238044024995406	0.0370544985724305	0.0165181798910896	0.0261209535766124	0.0364542985481829	0.0239256207181405	0.0412777737242513	0.0351597626783644
Tnnt3	0	0	0	0	0	0.0528902755512111	0	0.04791079051554	0
Mrpl23	4.37000435829483	4.07757350040881	3.8041797172963	1.71906040006029	2.6701478826071	1.81488550850816	5.96580665524413	3.34376674568557	5.00654578082635
Nctc1	0	0	0	0	0	0	0	0	0
H19	0.0298372146312147	0	0.0159401567525711	0.0568465124344259	0.0577889941296764	0.0235229427822593	0	0	0.0567190371684031
Mir675	0	0	0	0	0	0	0	0	0
Igf2	0.146400431808067	0.0586191883820921	0.0651771582487494	0.205320010649847	0.0630110476978157	0.102594294430522	0.307213682632694	0.174253691864552	0.309222024904316
Mir483	0	0	0	0	0	0	0	0	0
Igf2os	0	0	0	0	0	0	0.0171235959255594	0	0
Ins2	0	0	0	0	0	0	0	0	0
Th	4.29435812888233	4.37154497176687	3.90144778051453	2.43833293372202	3.37549811643055	3.00301858229144	2.09647315694779	2.96286582437608	1.33749929801986
Ascl2	0.00941601204270982	0	0	0	0	0	0	0	0
Tspan32	0	0	0	0	0	0	0	0	0.00721986904194019
R74862	0.327345557383471	0.539260167601172	0.227344322513902	0.0311832949693066	0.26416913028217	0.258071368642519	0.254065416024584	0.187019684087198	0.21157090305893
Cd81	22.8948492908091	32.4686919834574	25.9623196075288	12.7174796030456	19.4529046342792	16.4759287684039	20.8844886950489	24.1023767518918	25.6388172015357
Tssc4	6.56180268737006	6.37770397946252	7.59495070302968	5.44472999072244	9.58713268497558	7.85315037572303	9.03230018867443	6.2159384487464	9.50093597742326
Trpm5	0.0851281005102153	0.0194774607416074	0.0808508752399495	0.00901043971054556	0.048852413301676	0.0298279769403483	0.117459870273618	0.0405296230676947	0.0503453119738778
Kcnq1	0.060867917847678	0.0104450158631162	0	0.00966390711385241	0.0261976773387867	0.0319912021838726	0.0419928184193157	0	0.0462827343294168
