genes	logFC_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_TgvDMSO_6h_MIN6	FDR_TgvDMSO_24h_MIN6	FDR_Tg_24hv6h_MIN6	MIN6_DMSO_24h_n_1	MIN6_DMSO_24h_n_2	MIN6_DMSO_24h_n_3	MIN6_Tg_6h_n_1	MIN6_Tg_6h_n_2	MIN6_Tg_6h_n_3	MIN6_Tg_24h_n_1	MIN6_Tg_24h_n_2	MIN6_Tg_24h_n_3	avg_expression
Ccdc37	3.75391717829764	0.451451568552455	-3.30246560974518	0.00315840381142644	0.856093930740522	0.00621600316409845	0.211595930145952	0.0590887900921197	0.159796897744912	0.55280395860914	4.33036857438602	3.95204083538632	0.418395832369024	0	0.185574509107487	1.09662948087122
Ccdc60	2.56096668200978	-1.48922876171789	-4.05019544372767	0.0227748163396077	0.509479214619489	0.00709884283188928	0.451172067940948	0.269481040948782	0.159004721024875	0.275031744860303	5.0103502518836	3.18065727824474	0.266872870494572	0.065259470956046	0	1.07531438292821
Ccdc78	1.97488315436885	-0.704042127664511	-2.67892528203336	0.0402824641649164	0.661131876858925	0.0179637415743922	0.705588297652046	0.0766257417245477	0.828891963832479	1.00361876773776	5.74617273789614	2.86395177864895	0.292153861981762	0.408237320432491	0.360976702603691	1.36513524138999
Ccdc84	0.61696835988456	0.424450562759297	-0.192517797125263	0.0169282046020486	0.0744269264884261	0.437233425345205	50.969716313292	26.5472462864391	36.8124306526366	76.1780404074418	53.8099213767277	69.5224229183136	65.6933151800649	57.7672553897916	43.7458251812512	53.4495748562176
Ccdc88b	2.58376224432335	0.171698380643101	-2.41206386368025	0.0186276378442144	0.928537838684509	0.027674527749621	0.287114092752993	0.216843586709304	0.344953779060149	0.381868368746011	6.65227809909796	1.75643915400207	0.430752940111445	0.373764769932167	0.240359966121675	1.18715275072597
Cckbr	1.01935484685688	0.969586466965704	-0.0497683798911755	4.08090478065563e-05	1.66892353694228e-05	0.804668489064004	14.5634649519848	15.9304112966428	16.0890571809928	30.5126443582137	39.049835129352	45.2169227138473	34.7612648891895	35.6908180857514	29.3649723010109	29.0199323229984
Ccl28	-0.750428652526055	-0.209124398092776	0.541304254433279	0.0417657733136882	0.530303142798937	0.157239556583204	4.25799923833152	4.29704617480021	4.66659081617134	2.34241621765928	3.74827085126872	3.86039462310308	3.09609645016458	4.84454267341934	4.58699256556006	3.96670551227535
Ccm2l	3.43274718139433	1.50176834672391	-1.93097883467042	0.0145129318023925	0.436481633537129	0.0821710136658382	0	0.0573737413094006	0.341349364062622	0.322055313029162	2.54236457376757	3.32945075553664	0.375001769587475	0.496711882564771	0.360376439001477	0.869409315428791
Ccni	-0.626095081046388	-0.614833191789202	0.011261889257186	3.31212234544943e-05	1.54433600629594e-05	0.936129066234837	452.68067677789	462.092082015832	440.175007225402	346.652230133926	340.104207094969	360.956890534133	307.327257122754	324.470578341281	332.819818902741	374.142083127659
Ccno	1.14703975054898	0.916826567957667	-0.23021318259131	0.0409143370424657	0.0811848428767401	0.6659738658269	1.55240708878402	2.02306662452924	2.69906841122786	3.49093538936461	6.66604488558174	7.76036602550613	3.52613604238969	4.40111820171483	4.90643108883075	4.11395263976987
Cd180	7.06574915732993	4.76568429069914	-2.3000648666308	0.0481222025883179	0.382101821759644	0.218421287821902	0	0	0	0.101767263575423	0.648875540645917	1.44438587180199	0.325869444014911	0	0	0.28009979111536
Cd247	2.77577363083037	0.429924868545125	-2.34584876228525	0.0217073469837029	0.831262363457167	0.0421525967447751	0.0983985417989755	0.0824342525546666	0.118896666575797	0.222794563857055	2.24791039971563	0.91890958172916	0.239466812030229	0	0.172595579495712	0.455711821973025
Cd37	4.48180069696518	1.18921474319863	-3.29258595376655	0.00617728605746381	0.696029795356721	0.0170896421652557	0	0.0457702965221521	0.247558001499172	0.97059361705243	7.80072621223073	2.34096264091486	0.149580119743195	0.548661210592111	0.095830927158497	1.35552033619035
Cd59a	-0.757680972216832	-0.0527264107693507	0.704954561447481	0.0409828456026661	0.887210690547211	0.0648875529194633	7.00217545805965	8.19903644887768	9.7121764208936	4.6488434312458	8.08400914591539	6.19823172482022	7.41843685458029	8.84466818041459	9.78922930046059	7.76631188502976
Cd70	7.8560870902303	5.28946690863821	-2.5666201815921	0.029694096475014	0.370215693580273	0.144456611582119	0	0	0	0	5.88964093543863	6.05899987025022	1.30938860164748	0	0	1.47311437859293
Cdh15	4.97671108462884	2.98158258175467	-1.99512850287417	0.029694096475014	0.354205197448717	0.171892210900761	0	0.0444984521938897	0.0481357943119037	0.166521741172307	5.23293457717832	0.6565133735513	0.65440644719165	0.177805086889037	0.0232920051588187	0.778234164183025
