genes	logFC_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	FDR_TgvDMSO_6h_QGP1	FDR_TgvDMSO_24h_QGP1	FDR_Tg_24hv6h_QGP1	QGP1_DMSO_24h_1	QGP1_DMSO_24h_2	QGP1_DMSO_24h_3	QGP1_Tg_6h_1	QGP1_Tg_6h_2	QGP1_Tg_6h_3	QGP1_Tg_24h_1	QGP1_Tg_24h_2	QGP1_Tg_24h_3	avg_expression
Anos1	-1.49849413150349	-1.14527892165447	0.353215209849017	0.00994334305757772	0.0219419317612256	0.569702510940345	13.321382393273	13.489857027642	9.50368952105753	4.52669222604736	2.84450288009054	3.87650034570502	5.76113868138275	3.55301530682876	7.04562937583594	7.10248975087366
Antxr1	-1.02992504169514	-2.68103938179716	-1.65111434010202	0.0308747571160199	0.00020131412443347	0.0105068161030967	10.4705525588254	17.4924622671633	13.2968528343453	6.75454375538332	4.69618991683155	6.19064767027557	2.61447689881099	2.40228441112776	1.47377896949493	7.26575436469535
Anxa3	2.26761259343266	3.62239162304692	1.35477902961425	0.000274120791264872	1.27410506784701e-05	0.00821962426304143	1.91647772413479	1.31520255767554	0.996108137609436	6.04621906192894	6.14009876069202	4.98346542838037	19.1726939123055	15.079471108253	16.4860394114701	8.01508623360552
Ap1ar	1.26371012264467	0.813119054510075	-0.450591068134599	0.00268530375027599	0.0183639007940454	0.226755261844328	36.4361659542582	35.1058480872851	29.2121249233325	81.8314420757728	57.3809351356524	68.8781093515607	67.6011453905361	49.0599030255019	60.0565181118324	53.9513546728591
Apela	-2.00346884795096	-3.09206480625087	-1.08859595829992	0.000496510657678779	4.28743875618357e-05	0.057919075875715	2.02309699708844	1.5634563571392	1.74989557667754	0.269631776650506	0.444876498212348	0.421349623906008	0.240018373064753	0.226970708551364	0.144669508871124	0.787107268906809
Apmap	-1.16848431721059	0.0404579669344722	1.20894228414506	0.0020609383822938	0.903912961086514	0.00562407153004263	10.4874958228239	6.58670813604315	10.7651378688821	2.74263996450097	4.33578385229418	3.62624166372527	9.576263108968	9.54202947156325	9.16851034911772	7.42564558199095
Aqp3	-1.76256198766577	-2.88737969632496	-1.12481770865919	0.00177851195220603	9.80640975784833e-05	0.0412991622437955	7.31085827380194	5.31656826334109	9.77114689540003	1.22924465373103	2.43875576390692	2.0560097789407	0.744122968154492	1.22868205064493	1.0227290769601	3.45756863609791
Arfip2	0.863706287355337	0.161560600400158	-0.702145686955179	0.00269516385643474	0.462099851701717	0.0187297558706261	13.5220818981908	13.8567347719383	13.2613307850288	20.2202677984318	24.0250975950567	19.97804981216	15.1709357496236	14.7352950085644	15.4897896954468	16.6955092349379
Arg2	2.257921322204	3.01427686763279	0.75635554542879	4.90472372316054e-05	8.46447569698958e-06	0.0351074034420706	41.8811019177955	31.8121054432397	42.9714900740217	136.084854790733	206.978006298779	140.700741751866	290.552096421797	352.099890813965	293.330280982698	170.712285388322
Arhgap19	-1.19380533661955	-1.19360867997844	0.000196656641109382	0.0441033504471058	0.0358412373576497	0.999647602278406	1.67862988666408	1.06366645292736	2.78622235771916	0.434703003418518	0.563940522400161	1.12968569204242	0.71143031136418	0.836836170860204	0.854147814309696	1.11769580130064
Arhgap23	2.01024063407902	1.13213193568331	-0.87810869839571	0.000839194490003705	0.0141881084726442	0.0632441819498214	0.269718946050953	0.234998268978013	0.16555776549571	0.686265918592922	0.725627727661213	0.860756302721847	0.488715184290656	0.383463390121218	0.546181670559055	0.484587241607954
Arhgap28	-1.41044781013519	-0.809620617124549	0.600827193010643	0.0163809131656839	0.0961518994702521	0.321610547250363	4.16986186194891	3.97830402872708	3.61708377437074	1.32021014481085	0.79767587083325	1.78075777823888	2.24073890125936	1.40257112324802	3.06007975883864	2.48525369358619
Arhgef9	0.61334553699029	-0.132771669809678	-0.746117206799968	0.0486654865830609	0.661313308401657	0.0458916008954659	18.9740063084199	19.2641035972542	16.0096992508383	25.7576620144677	27.0482933147929	18.8655281225554	16.512903306501	17.3810647568407	15.5313035130485	19.4827293538576
Arid2	-0.729010744899637	-0.841662458500765	-0.112651713601128	0.0378724407681946	0.0166366476814803	0.796976198017388	11.1771475965148	15.2354309840882	10.8353221368211	7.16812271442145	5.53932684259945	6.87355297011045	7.48918966237947	7.12093367935248	6.32611765019051	8.64057158183088
Armc4	-2.33267958008332	-0.328087094870202	2.00459248521311	0.0351668590011682	0.671709944462107	0.126922134787607	0.203334352434457	0.118106202883837	0.254514202702725	0	0.048090774040615	0.0425509901775738	0.107458787014382	0.165190535776431	0.222068855947551	0.129034966775286
Armcx4	1.02665811878675	0.961067035390373	-0.0655910833963734	0.00763839648846263	0.00778284797049687	0.882479248917925	2.70526896992178	2.81525357948568	3.36279698642884	3.74535861629793	6.01608262638462	6.09681947481794	5.16595984968221	5.7510854671184	6.38967161648243	4.67203302073554
Arntl2	-0.701755003036365	-0.490850442871195	0.21090456016517	0.0364274239804778	0.104773125283756	0.579404487086891	131.034540647772	83.0374437365093	120.622580636446	52.8742465237222	47.5235061073893	77.5945473444935	84.467536292185	79.0684816761241	72.0769302779682	83.1444236936233
Asah1	-0.626801212218039	0.109853237443435	0.736654449661474	0.012379677598291	0.614361668246433	0.0140683654615872	4.95893407942296	3.8677441287546	4.71322688179986	2.48561238756935	2.51967920923043	2.55817710556578	4.83786356496421	4.42647769281563	5.2408535122217	3.95650761803828
Asb4	1.0294497985097	1.1730514009923	0.143601602482599	0.0464656815291106	0.0199306371769931	0.817695184561459	0.417161852755228	0.274867368437872	0.424571000975573	0.912154238763022	0.521450909455751	0.57766617997668	0.741602188870696	0.767833437334524	1.0375524859747	0.630539962504894
Ascl1	0.646540960516957	-0.377820579300248	-1.02436153981721	0.0283609377079711	0.146957613266926	0.00905738797752369	162.495393588114	167.954144869623	159.779544481091	240.894416237825	240.413305699636	181.63694405235	127.016800703254	129.545624937787	120.62786704792	170.040449068622
Asrgl1	-0.832939647597038	-0.794091828625493	0.0388478189715454	0.0104392707468866	0.00980668729109115	0.926643702160229	7.51890344642749	7.84699171485645	11.003823432956	3.84043464168467	4.28566925783025	4.75875284478613	5.26223728977453	5.41277591737804	4.49845647729123	6.04756055810942
Ass1	1.33860456531951	2.5589653590023	1.22036079368279	0.0140676147847724	0.000349823859177815	0.0407646363758236	41.473080228651	36.4237027443692	29.8398615005279	53.588322124481	130.582244041406	52.9628208122532	200.933686272368	229.124840984729	201.069979448947	108.444282017526
Atad3a	0.722752286036355	0.377275573710122	-0.345476712326233	0.0498368658597463	0.25878949225838	0.395203366174823	12.5242538511419	7.15263945022493	13.5343230634302	11.2655462349287	16.1635556573571	20.2149515438532	14.9949779343887	14.8954936813614	12.7848388440825	13.7256200289743
