genes	logFC_TgvDMSO_6h_MGN3	FDR_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	FDR_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_Tg_24hv6h_MGN3
Fam84b	3.30441623393335	0.00601878753137658	3.67684413349083	0.000923490103327152	0.372427899557474	0.565232364001281
Syt11	-1.29883409142513	0.00601878753137658	-1.15684519339802	0.00200487460195364	0.141988898027109	0.679868312972421
Zfp330	1.29142209097308	0.00601878753137658	0.975389574909591	0.00415041601872514	-0.316032516063486	0.287489923681048
Gusb	-1.99495479212181	0.00601878753137658	-1.19633253932406	0.0103813797874985	0.79862225279775	0.0924782506850926
Plce1	2.02350821011471	0.00601878753137658	1.07122328557266	0.0189306659768421	-0.952284924542046	0.0518650443744892
Hcar1	-1.83356933514826	0.00601878753137658	-0.283986105816809	0.455929599648178	1.54958322933145	0.00865439095739904
Timp2	-1.40784388757115	0.00601878753137658	-1.37567740399615	0.00145225944776269	0.0321664835749971	0.945966394799509
H19	-3.44349258383893	0.00601878753137658	-4.56996529533702	0.000923490103327152	-1.12647271149809	0.495433595072621
Ifrd1	1.63243951236042	0.006067818459666	1.78029032872543	0.00108187749128127	0.147850816365016	0.749924385974922
Pcdhb2	-2.06720602504651	0.006067818459666	-2.12425555839672	0.00135571365990318	-0.0570495333502068	0.938958510539323
Otub2	1.48210595266103	0.006067818459666	1.33623317546157	0.00232991394564268	-0.145872777199458	0.727934250900054
Pik3c2g	1.54633825189235	0.006067818459666	0.156090940361642	0.672665922339108	-1.39024731153071	0.00827493441914533
Iyd	-1.60125743115883	0.006067818459666	-1.71463574129179	0.0011857371628455	-0.113378310132959	0.816718951723768
Klf10	1.53843600938965	0.006067818459666	0.21074914841281	0.544049948521065	-1.32768686097684	0.00877342199285808
Pcdhb4	-2.12309805900996	0.006067818459666	-1.02604556653866	0.0279641464336229	1.0970524924713	0.048368039036366
AI464131	-1.34945208771322	0.006067818459666	-0.0391375723338267	0.916559932304598	1.3103145153794	0.00776499545427429
Slc6a6	-1.33608460495394	0.006067818459666	-1.1504988972384	0.00290776254088489	0.185585707715534	0.606818591587063
Myrip	1.22886482171404	0.006067818459666	1.02588628287392	0.00354774594169288	-0.202978538840116	0.526926738588489
Snhg5	1.99747738263886	0.006067818459666	1.26315758594882	0.0104595039916325	-0.734319796690042	0.130293214882777
Hspa2	-1.55041830831105	0.006067818459666	-1.08450033049313	0.00721479104410743	0.465917977817919	0.218864265906126
Mknk1	1.31463325508374	0.006067818459666	2.32906641608418	0.000240066288587509	1.01443316100044	0.0133399942638063
Pam	-1.46912445135095	0.006067818459666	-1.18150949026654	0.00415388823547784	0.287614961084406	0.440216454960625
Zfhx2os	-2.131921850403	0.006067818459666	-2.13522024948734	0.00176032852480737	-0.00329839908434208	0.995780184422299
Herpud1	1.30362954042154	0.006067818459666	1.39398093231551	0.00133448840633277	0.0903513918939753	0.827072891078329
Insm1	1.17805259641183	0.006067818459666	0.714786281339218	0.0137228841866254	-0.463266315072617	0.119969693196686
Skp1a	-1.27545468862711	0.006067818459666	-0.575577315370926	0.0446663338806945	0.699877373256185	0.0443537745532098
