genes	logFC_TgvDMSO_6h_QGP1	logCPM_TgvDMSO_6h_QGP1	F_TgvDMSO_6h_QGP1	PValue_TgvDMSO_6h_QGP1	FDR_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	logCPM_TgvDMSO_24h_QGP1	F_TgvDMSO_24h_QGP1	PValue_TgvDMSO_24h_QGP1	FDR_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	logCPM_Tg_24hv6h_QGP1	F_Tg_24hv6h_QGP1	PValue_Tg_24hv6h_QGP1	FDR_Tg_24hv6h_QGP1
APBB2	2.85917891034419	8.73795916000745	238.002661006834	1.27622845749783e-08	1.01857211224522e-05	2.00761854999985	8.73795916000745	125.019490620229	3.25411139378254e-07	5.47039004209377e-05	-0.851560360344339	8.73795916000745	24.0442598809	0.000517186492810573	0.0181446551306918
SLC7A5	2.98330758266183	10.1522022169639	219.012184756625	1.95047749966315e-08	1.47476630316636e-05	2.67155281732713	10.1522022169639	180.231294008731	5.23883698671192e-08	1.88152830377759e-05	-0.311754765334698	10.1522022169639	2.78093850297619	0.124523045456432	0.355871088417107
PTGS2	4.18636417485999	6.60357322988841	214.429172502275	2.17275517519394e-08	1.50276615027821e-05	1.58418395361202	6.60357322988841	36.1538624566252	0.000100666239173037	0.00191799892832871	-2.60218022124797	6.60357322988841	97.5712163791163	1.09317734425957e-06	0.000751065313125761
CEBPG	2.08061755160021	7.25320485381983	213.955697975248	2.19672067073941e-08	1.50276615027821e-05	2.29529085480528	7.25320485381983	257.166010841308	8.58685226230335e-09	8.46447569698958e-06	0.21467330320507	7.25320485381983	2.4973586465583	0.14328768261482	0.38165290563277
PCDH7	4.47011762962927	3.8279405419314	202.956729629257	3.03090107764033e-08	1.93356520231153e-05	5.24211116321091	3.8279405419314	283.304509988781	5.55544838592869e-09	6.19726423997945e-06	0.771993533581643	3.8279405419314	11.4629436052174	0.00640705186241803	0.074194510372859
FST	3.00219653866266	10.4988369961077	199.983400228772	3.09564246506788e-08	1.93356520231153e-05	2.15855381689049	10.4988369961077	110.487690521471	5.97076277305584e-07	7.86935577960736e-05	-0.843642721772175	10.4988369961077	18.156047896408	0.00144480372657627	0.0327382497413165
PCYOX1L	-2.25602914634687	4.51117815887803	186.8449642342	4.37023276239371e-08	2.51637367880356e-05	-1.29293595779058	4.51117815887803	68.6140415125967	5.82831870044109e-06	0.000301185706656607	0.963093188556292	4.51117815887803	34.6322483527097	0.00012052542643351	0.00892750332096928
NOX4	2.76482933618365	6.28783287789732	183.131898286657	4.83423305359457e-08	2.51637367880356e-05	3.20714219112481	6.28783287789732	239.658320315991	1.23210846088624e-08	8.46447569698958e-06	0.442312854941162	6.28783287789732	5.553965150744	0.0387622235738217	0.19052840207977
SLC7A1	2.03115467569233	8.95292371137527	182.185032937484	4.96135840054387e-08	2.51637367880356e-05	1.61841965344916	8.95292371137527	118.681352984437	4.20456954031084e-07	6.49492967915114e-05	-0.412735022243172	8.95292371137527	8.11029388530359	0.0163470427296726	0.122696768993979
FAM163A	3.90417756570842	2.94415520490298	183.690976228901	4.96188576259894e-08	2.51637367880356e-05	3.28412952337577	2.94415520490298	128.681110750741	2.92301491710556e-07	5.12097954867542e-05	-0.620048042332648	2.94415520490298	7.61557521181031	0.0191605609308313	0.132213444938528
FKBP14	2.40753783598628	7.03998707471298	181.770963423197	5.01871485591454e-08	2.51637367880356e-05	1.71173321116091	7.03998707471298	95.9512691933552	1.18509320704072e-06	0.000116609924742102	-0.695804624825369	7.03998707471298	16.8763276175932	0.00186014695182868	0.037860268280295
MAGT1	1.79371683551885	7.52526564129828	181.336419823486	5.07969070620237e-08	2.51637367880356e-05	0.976505396622106	7.52526564129828	55.8352009708267	1.50301450535752e-05	0.000548028080811324	-0.817211438896748	7.52526564129828	39.6340139085721	6.81636424431885e-05	0.00670711566670442
CTH	2.82288308447133	5.28029499862977	177.741822769953	5.62275834992752e-08	2.69255154850196e-05	2.90397451554364	5.28029499862977	188.053171672051	4.22945929093502e-08	1.63094176373382e-05	0.0810914310723138	5.28029499862977	0.180380711279678	0.679508886901044	0.842782581229837
SLCO5A1	2.23211458700624	5.71977400874364	175.723837720662	5.95319747395959e-08	2.75882693260979e-05	0.531830956421428	5.71977400874364	10.5230540606625	0.00815020530172349	0.0401666721662297	-1.70028363058482	5.71977400874364	106.809690521381	7.04443349345081e-07	0.000643362905108867
WARS	2.31695845328229	8.46370942845645	168.86900188243	7.27269984889088e-08	3.21838976050516e-05	3.20218440653551	8.46370942845645	301.121171589002	3.81678031889615e-09	6.19726423997945e-06	0.885225953253225	8.46370942845645	27.0132248417566	0.00032955850637771	0.0146124614278462
SPRY1	2.2183369837909	7.47404773485813	167.166501027244	7.65278296824352e-08	3.21838976050516e-05	0.621215263789199	7.47404773485813	14.0967933156974	0.00337288326025078	0.0214972674874723	-1.5971217200017	7.47404773485813	90.577727797926	1.56427340790512e-06	0.000774908681998791
PSAT1	2.40912430883041	7.86610739806873	166.451855592674	7.81932883958249e-08	3.21838976050516e-05	1.97079792152543	7.86610739806873	114.803460700734	4.94944081779025e-07	7.17276910464088e-05	-0.438326387304979	7.86610739806873	6.13204604640946	0.0314430213840832	0.172653648402934
NOS1	2.90726633126653	4.03033306327988	166.432582161375	7.84098855754423e-08	3.21838976050516e-05	2.40831790737254	4.03033306327988	116.018902769487	4.70887122960534e-07	7.04662959213649e-05	-0.498948423893987	4.03033306327988	6.27516033835087	0.0299014954670377	0.168484946820257
GPT2	2.3867150118094	7.10943482784735	164.219720770048	8.36800757189146e-08	3.33929991049424e-05	1.93774461737063	7.10943482784735	111.500864123052	5.71012239943646e-07	7.7388319236136e-05	-0.448970394438771	7.10943482784735	6.48277985288371	0.0278149149504215	0.162302627204612
SHC4	2.81993005546126	5.07835651112767	162.218201361369	8.91198706258474e-08	3.46025962543493e-05	3.90127872021544	5.07835651112767	296.97054860252	4.1072141182151e-09	6.19726423997945e-06	1.08134866475419	5.07835651112767	30.16887432169	0.000212311180862057	0.0112038434495383
PROS1	-2.64991796640473	5.17491472647636	157.02424786792	1.04814487010055e-07	3.85759595804673e-05	-1.68598709718286	5.17491472647636	70.8065496089523	5.03169762553024e-06	0.000271749504091607	0.963930869221865	5.17491472647636	21.8267517432637	0.000744146106389375	0.022042067967814
DNAJC12	2.48709117665977	8.05373609683316	156.280703530108	1.07280134932271e-07	3.85759595804673e-05	2.26241076768139	8.05373609683316	131.491522404702	2.53554040246448e-07	4.79283860813219e-05	-0.224680408978386	8.05373609683316	1.43304286661127	0.257262992149212	0.520258969544348
