genes	logFC_TgvDMSO_6h_MGN3	logCPM_TgvDMSO_6h_MGN3	F_TgvDMSO_6h_MGN3	PValue_TgvDMSO_6h_MGN3	FDR_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logCPM_TgvDMSO_24h_MGN3	F_TgvDMSO_24h_MGN3	PValue_TgvDMSO_24h_MGN3	FDR_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	logCPM_Tg_24hv6h_MGN3	F_Tg_24hv6h_MGN3	PValue_Tg_24hv6h_MGN3	FDR_Tg_24hv6h_MGN3
Timp2	-1.40784388757115	8.09930625215534	67.5234903993225	1.47871694028171e-05	0.00601878753137658	-1.37567740399615	8.09930625215534	64.5696750660575	1.77786612407043e-05	0.00145225944776269	0.0321664835749971	8.09930625215534	0.0365571838827248	0.852486402843896	0.945966394799509
H19	-3.44349258383893	-0.46543502181404	50.3895953761818	1.48291654607369e-05	0.00601878753137658	-4.56996529533702	-0.46543502181404	63.5527703725504	4.76392338488752e-06	0.000923490103327152	-1.12647271149809	-0.46543502181404	1.93845358581789	0.189891146829408	0.495433595072621
Ifrd1	1.63243951236042	7.58238913269338	66.0085702553234	1.62377017896424e-05	0.006067818459666	1.78029032872543	7.58238913269338	77.8257337315421	8.19121397099878e-06	0.00108187749128127	0.147850816365016	7.58238913269338	0.570997384859044	0.468603803006845	0.749924385974922
Pcdhb2	-2.06720602504651	3.40955822788701	64.9344898839365	1.73838565361538e-05	0.006067818459666	-2.12425555839672	3.40955822788701	67.7588409869249	1.45866472617077e-05	0.00135571365990318	-0.0570495333502068	3.40955822788701	0.049825041357478	0.828203626173274	0.938958510539323
Otub2	1.48210595266103	5.51528687118982	64.6696871992347	1.76665905583028e-05	0.006067818459666	1.33623317546157	5.51528687118982	52.8763277162717	4.0008071254169e-05	0.00232991394564268	-0.145872777199458	5.51528687118982	0.658919354164072	0.43726222069439	0.727934250900054
Pik3c2g	1.54633825189235	4.65091413595097	64.150688727293	1.82628622422271e-05	0.006067818459666	0.156090940361642	4.65091413595097	0.671115545464666	0.433192900367345	0.672665922339108	-1.39024731153071	4.65091413595097	52.5128745691779	4.11325692709683e-05	0.00827493441914533
Iyd	-1.60125743115883	5.92448585133327	64.0294451656313	1.8402850461506e-05	0.006067818459666	-1.71463574129179	5.92448585133327	72.8232948917923	1.08103939471327e-05	0.0011857371628455	-0.113378310132959	5.92448585133327	0.333685022914667	0.577239155128896	0.816718951723768
Klf10	1.53843600938965	6.99877892074839	63.8747451654797	1.85863977535479e-05	0.006067818459666	0.21074914841281	6.99877892074839	1.24828308458495	0.291963977609472	0.544049948521065	-1.32768686097684	6.99877892074839	48.1485300875875	5.80931853546193e-05	0.00877342199285808
Pcdhb4	-2.12309805900996	3.87366475683189	63.3827408545532	1.91929058418197e-05	0.006067818459666	-1.02604556653866	3.87366475683189	15.9760561712726	0.00293679517519723	0.0279641464336229	1.0970524924713	3.87366475683189	17.5269904208462	0.00219910816868047	0.048368039036366
AI464131	-1.34945208771322	4.09903180663539	63.3721118013373	1.92019175578099e-05	0.006067818459666	-0.0391375723338267	4.09903180663539	0.0560882937878939	0.817933216674468	0.916559932304598	1.3103145153794	4.09903180663539	59.9216283574281	2.41378587895492e-05	0.00776499545427429
