genes	logFC_TgvDMSO_6h_aTC1	logCPM_TgvDMSO_6h_aTC1	F_TgvDMSO_6h_aTC1	PValue_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logCPM_TgvDMSO_24h_aTC1	F_TgvDMSO_24h_aTC1	PValue_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	logCPM_Tg_24hv6h_aTC1	F_Tg_24hv6h_aTC1	PValue_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Ccdc127	-0.0165787060738826	7.01655374954245	0.0307235938829963	0.864161022293543	0.910122724260547	0.0830363517498302	7.01655374954245	0.766481608410786	0.400707176907655	0.555262683140487	0.0996150578237127	7.01655374954245	1.10898820702476	0.315710749620028	0.533436485602643
BC030336	-0.019687628702711	5.57889716697965	0.030719460722575	0.864170058941236	0.910122724260547	-0.0554667311881265	5.57889716697965	0.239894577201824	0.634258811378422	0.754266611670251	-0.0357791024854154	5.57889716697965	0.101198661256838	0.756573823568909	0.865476674122409
Hagh	-0.0246581611661664	5.89113991299669	0.030686905073711	0.864241250908001	0.910122724260547	-0.0140228741920643	5.89113991299669	0.00981889660501073	0.922915188789637	0.953279693735528	0.010635286974102	5.89113991299669	0.0057112677666749	0.941165971986575	0.970460643682597
Gpc6	-0.0247296561974693	4.90231732091973	0.0306600204601308	0.864300073663489	0.910122724260547	0.149995447689043	4.90231732091973	1.10546132706515	0.316444777760437	0.472519689392782	0.174725103886512	4.90231732091973	1.53335298012637	0.24232750875426	0.457396336082186
Gm13152	-0.0492909643536886	2.24466745039097	0.0305628874745825	0.864513068350162	0.910219092088991	0.192586306099257	2.24466745039097	0.42986034554112	0.526029729848709	0.668205636751594	0.241877270452945	2.24466745039097	0.749876663791969	0.4056864203245	0.614378633010357
Ccl27a	0.0439194306364406	2.94623610858422	0.0305526088854531	0.864535474994737	0.910219092088991	-0.143095347437652	2.94623610858422	0.298528258934669	0.596117359930859	0.725269433392175	-0.187014778074093	2.94623610858422	0.549522747203835	0.474613153259172	0.670029637919554
Cd46	0.0528580375492321	-0.113497956709627	0.0303830545503844	0.864915969609239	0.910543921409227	-0.309247218646329	-0.113497956709627	0.759515200800489	0.40283257131157	0.557436037650003	-0.362105256195561	-0.113497956709627	1.3646180400118	0.268400504559828	0.485150439597308
Acsl4	0.0252376554198766	7.94709978338087	0.030343597964171	0.864994379645935	0.910550702328012	0.184202305192153	7.94709978338087	1.61091032712543	0.231517951555209	0.378753168385292	0.158964649772277	7.94709978338087	1.20358924110477	0.296897576861451	0.516033833309238
Itpa	0.0388206705918597	5.85487063178883	0.0301974512866005	0.865316324836675	0.910791573514457	-0.037520828290461	5.85487063178883	0.0278864435593271	0.870518309418573	0.921348306070251	-0.0763414988823207	5.85487063178883	0.116870388569752	0.739133823573301	0.854800835086783
Usf2	0.0181060323624186	6.22757909695542	0.0301575012573486	0.86540446979803	0.910791573514457	0.286480545810556	6.22757909695542	7.49126662490302	0.0199314214596858	0.0671847324563547	0.268374513448138	6.22757909695542	6.6410050792786	0.0264091388734529	0.124072939111373
Chm	-0.0269778774053961	6.09452329002744	0.030141784591082	0.865439163514922	0.910791573514457	0.0661238361419476	6.09452329002744	0.179026967593294	0.680665575419233	0.790361679534154	0.0931017135473437	6.09452329002744	0.358526300315742	0.561900489304817	0.736472080253242
Ncoa7	0.0230230010173033	6.51949468075331	0.0300623010397821	0.865614761779285	0.910805547443332	0.0967659602899097	6.51949468075331	0.526578014226449	0.483759434218296	0.630526873568547	0.0737429592726064	6.51949468075331	0.308298178502495	0.590248922787783	0.756000740302861
Tmem18	0.0145322624387964	5.36474802801625	0.0300554011417676	0.865630017927466	0.910805547443332	0.132983460758479	5.36474802801625	2.47964343118049	0.144673417112007	0.272179639152582	0.118451198319683	5.36474802801625	2.00212644591415	0.185771953786765	0.389717585692281
Os9	-0.0223289453714892	7.03248950277235	0.0300380395993189	0.865668408789603	0.910805547443332	0.234705890919423	7.03248950277235	3.30105297587978	0.0975776961176064	0.20657134905352	0.257034836290912	7.03248950277235	3.97980071579187	0.0723905372087358	0.224256832534834
Nedd9	0.032471370553343	3.06389773066961	0.0300030639838751	0.86574589434646	0.910811330057493	0.292972843103351	3.06389773066961	2.34113161869158	0.155271961524346	0.285704022281272	0.260501472550008	3.06389773066961	1.99306117795826	0.186691039113001	0.390738631407393
Nubpl	0.0570980296222051	3.12951903212946	0.0298271818994553	0.866135725080392	0.911145688344319	-0.391957330091551	3.12951903212946	1.28780890866607	0.281457897871427	0.434321908021624	-0.449055359713757	3.12951903212946	1.80141022724116	0.207577241258934	0.417796254598797
1700040L02Rik	0.0275265105471742	2.73377238827628	0.0296697493758486	0.86648569657472	0.911438063939422	0.0196020401442785	2.73377238827628	0.0139413258963153	0.908216786796664	0.945274661611664	-0.0079244704028957	2.73377238827628	0.00246604341859009	0.961317100038178	0.979899445831997
Csrnp1	-0.0327629461463575	2.93300325640403	0.0295867561821253	0.866670556188702	0.911556727649801	-0.775494844917313	2.93300325640403	14.4352622041633	0.00314448981807362	0.0181331290694018	-0.742731898770956	2.93300325640403	14.0779088316638	0.00340757585659747	0.0381209584169118
Pstk	-0.0237074290704645	3.73012379382311	0.029377162355841	0.867138508140813	0.911926467086085	0.0144811030333349	3.73012379382311	0.0105263755820542	0.920196712321455	0.951801392408551	0.0381885321037994	3.73012379382311	0.0763640392973708	0.787599095211056	0.885987708065287
Mkks	-0.0247172727267716	4.79049404878145	0.0293647404981242	0.867166244507801	0.911926467086085	0.0634363751678814	4.79049404878145	0.189675489262602	0.671920335591784	0.783659299954577	0.088153647894653	4.79049404878145	0.374672131770897	0.553368682498595	0.731197970858718
Yy1	0.0242095019307264	7.14519847446673	0.0293215997516982	0.867262814044396	0.911952221018094	-0.0187225742369849	7.14519847446673	0.0174291002062877	0.897440991310625	0.938227022150226	-0.0429320761677113	7.14519847446673	0.092118544573831	0.76737371839839	0.871773067619081
Dnm1l	0.0233372741764688	6.95359853623462	0.029115415756276	0.867725384100717	0.912320464053312	0.0279028526113297	6.95359853623462	0.0413399120663743	0.842732725159539	0.904270582539096	0.00456557843486085	6.95359853623462	0.00111324350423646	0.974003111925198	0.986399373415321
Phf13	0.0214980821161963	5.8497927661469	0.0290831574836672	0.867797908365151	0.912320464053312	-0.26072569327656	5.8497927661469	4.20459224728826	0.0658676100565794	0.155900135172452	-0.282223775392756	5.8497927661469	4.98334319051044	0.0481976569672286	0.17629278865261
Kctd6	0.0230099512370425	2.83296289439781	0.0290692471019561	0.867829338039963	0.912320464053312	0.245603189300576	2.83296289439781	3.13178442902633	0.105490555444264	0.217798059314757	0.222593238063534	2.83296289439781	2.79278145230028	0.123908431606116	0.308600290685154
Ncapd3	-0.0151846139999842	6.55877685937608	0.0289050339387636	0.868199117192786	0.912633369119569	-0.152778011517121	6.55877685937608	2.8964009593389	0.117875959639995	0.234602271726477	-0.137593397517136	6.55877685937608	2.36631885439179	0.153271704475389	0.349225828819818
Dtymk	0.0326413834391549	7.04377081540669	0.028683557403823	0.868699758363082	0.913083770275792	-0.174624747051429	7.04377081540669	0.815427673877772	0.386577026378415	0.542296544820901	-0.207266130490584	7.04377081540669	1.15460920005157	0.306432304342586	0.525549886748326
Btbd1	-0.0249234678410933	6.71231208895787	0.0285407254176463	0.86902368400174	0.913348367668218	-0.269538305612404	6.71231208895787	3.30011688476699	0.0976193729074471	0.20657134905352	-0.244614837771311	6.71231208895787	2.73505013507379	0.127436658345556	0.314171590293839
B230307C23Rik	-0.0336752608457866	2.45692521729603	0.0283165688823855	0.869533941333947	0.913808740406769	-0.0910332164005918	2.45692521729603	0.187429800271175	0.673740211960622	0.784923009200252	-0.0573579555548053	2.45692521729603	0.0818863419562424	0.78027136892901	0.88072025690872
H2-Q4	-0.0274960629221822	3.97859056025315	0.0281401967505387	0.869936557834288	0.914155924395301	0.0719788121865384	3.97859056025315	0.187008685324599	0.674082369528931	0.785167569442095	0.0994748751087206	3.97859056025315	0.371034581489908	0.555268367871399	0.732560520365896
Cope	-0.0251334406335612	6.18491851479315	0.0278815418412154	0.870529574281245	0.914659984606549	0.0164122443857571	6.18491851479315	0.0117915874885321	0.915556214317394	0.94900932376638	0.0415456850193183	6.18491851479315	0.076253337236399	0.787748787070421	0.885998546894388
Cdh18	-0.0231334838277894	4.87826695323557	0.0278159227538969	0.870680489430034	0.914659984606549	-0.373565898318743	4.87826695323557	6.96816173551188	0.0236530047830611	0.0757614725355161	-0.350432414490954	4.87826695323557	6.26278654791226	0.0300954216407246	0.133719537902009
