genes	logFC_TgvDMSO_6h_MIN6	FDR_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	FDR_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_Tg_24hv6h_MIN6
Mars	1.30367428150957	5.14485400580298e-09	0.912945666728345	1.03974740786188e-07	-0.390728614781223	0.00182588255558315
Jdp2	3.39009003400054	5.14485400580298e-09	2.46217957877098	1.84049442531145e-07	-0.927910455229559	0.000306563993933142
Cars	1.52911010597409	5.14485400580298e-09	1.07387172540303	1.07972163351611e-07	-0.455238380571057	0.00181034888732919
Cplx2	-1.27813460517946	5.27992327823192e-09	-0.697188028950855	1.50459234244212e-06	0.580946576228608	7.00127638107571e-05
Clic4	1.32365651700167	6.02679534983608e-09	1.20743125645121	4.43897389664046e-09	-0.116225260550469	0.318366783861447
Tars	1.45761222565875	6.59125513719231e-09	1.67141824125522	1.97590647268053e-10	0.213806015596467	0.0854676678178457
Tmem27	-1.59132321028578	7.32872406980328e-09	-1.59298902372323	9.4412943412154e-10	-0.00166581343744746	0.992914032602034
Stbd1	2.32329384374944	7.9833702609103e-09	3.63442156017123	7.21337342915649e-13	1.3111277164218	2.1516653770101e-07
Slc16a3	-2.15370194082218	8.85873401979508e-09	-1.66216431953854	1.79326811421124e-08	0.491537621283638	0.0275573778216785
Lcp2	-1.88814632399547	8.85873401979508e-09	-3.89865893919438	1.42105581710176e-12	-2.01051261519892	1.59848289983108e-06
Stc1	-1.87450921881193	8.92960560246321e-09	-2.13209072019687	2.1596975302524e-10	-0.257581501384932	0.202691320131366
Usp36	1.21599335602776	1.01616502609861e-08	1.13786598629536	4.24623795787249e-09	-0.0781273697324025	0.481702706273701
Lingo1	-1.45350503005049	1.01773972567813e-08	-1.25207475371923	7.53342465556573e-09	0.201430276331264	0.161030811139665
Heg1	-1.25056878532597	1.02002911515538e-08	-1.53940698088952	1.23089442791859e-10	-0.28883819556355	0.0264439669561565
Stk40	1.3701795196603	1.08376977892141e-08	1.21786388674655	9.32069514195965e-09	-0.152315632913747	0.206616264103588
Sdc3	-1.33301082752692	1.17416646950664e-08	-1.21946889850116	4.18991000102635e-09	0.113541929025763	0.406975075463997
Dusp16	1.76775372220953	1.17924826169128e-08	1.71474192489471	3.36450680995913e-09	-0.0530117973148231	0.750346788213484
Psph	1.92849610107155	1.46370433511109e-08	1.95248540226252	1.47626956621477e-09	0.0239893011909652	0.892271025159653
Ttc28	-1.17097978348527	1.48542291441942e-08	-1.46833843900808	1.46166258880112e-10	-0.297358655522811	0.0181043466244729
Ins2	-1.5045998607896	1.76917716095882e-08	-2.17054308545038	4.2873603381874e-11	-0.665943224660782	0.000177944705716316
Fosb	1.82298997217337	1.82011806744709e-08	-0.382150974329035	0.0825664362586201	-2.2051409465024	5.40487241583841e-09
Gatsl2	-1.12625063843855	1.88269066016981e-08	-1.51545692558937	7.0319694783384e-11	-0.389206287150815	0.00316839177551572
Lars	1.17171204415794	1.98491905181278e-08	1.58340772544151	6.17934071786396e-11	0.411695681283571	0.00106620719077036
Myo1e	-1.13678318649117	1.99985178517786e-08	-1.2891127763667	6.35339666142663e-10	-0.152329589875539	0.200367363979397
Xpot	1.27415374477478	1.99985178517786e-08	1.9381934604859	1.72236123511169e-11	0.664039715711125	2.91265881883479e-05
Rab39b	1.29291170055043	2.3011964546437e-08	1.84490617312271	3.34663919316983e-11	0.551994472572287	0.00017959939552968
Slc2a2	-1.58975562423537	2.32956592982247e-08	-1.5425339837009	3.37659191357026e-09	0.0472216405344757	0.81354301227699
Cyb5r1	1.23161720707425	2.38145951249081e-08	2.54486282588694	2.03398190619786e-13	1.3132456188127	4.31926430170789e-09
Tuba1b	-1.36313073174161	2.40380981949708e-08	-1.13014863343191	3.99851810047517e-08	0.2329820983097	0.0983076872490473
Ret	-1.46570991264671	2.4489075871661e-08	-0.567793996192451	0.00010317289382129	0.89791591645426	1.46468610115923e-05
Yars	1.26808685828758	2.45068463597975e-08	1.20023609631606	1.06897406072711e-08	-0.0678507619715201	0.600052981396856
Slc39a8	-1.3620705102702	2.51989879946661e-08	-1.28958207786738	5.33986049535971e-09	0.072488432402817	0.652879230919819
Eif2s2	1.19796951439908	2.55747540918401e-08	1.07187701852103	2.40450286014038e-08	-0.126092495878057	0.282281606542542
Vldlr	1.06112881347801	2.55838365354021e-08	0.941917582771643	2.77315384403213e-08	-0.119211230706369	0.256316342262562
Gtpbp2	1.27023433017957	2.70143227635659e-08	1.89371803485902	2.24320999761592e-11	0.623483704679448	5.07624199440771e-05
Slc7a3	2.43259544423397	2.70143227635659e-08	3.78523637342054	2.39889016143971e-12	1.35264092918657	4.75514136042909e-07
Adm2	1.97758838300857	2.70143227635659e-08	2.32873219341925	2.66819799473163e-10	0.351143810410686	0.0313130051705974
Elmsan1	1.3194444659565	2.90284776574316e-08	1.93120552254955	3.34663919316983e-11	0.611761056593049	0.000102008461288196
Arid5a	1.42503847253626	3.07564810293043e-08	1.73556082645671	2.08026231222509e-10	0.310522353920456	0.0178341134837407
Npy	-1.38291136386925	3.45990849623898e-08	-3.27353280499996	4.35419511118757e-13	-1.89062144113071	4.89180040718047e-09
Snhg1	1.37769449022833	3.45990849623898e-08	1.5212274367417	1.57952925072389e-09	0.143532946513373	0.272773633232418
G6pc2	-1.04831120920369	3.45990849623898e-08	-1.23606672237418	1.16903991217992e-09	-0.187755513170483	0.0880114024109403
Arl6ip1	-1.04268761594853	3.45990849623898e-08	-0.871687347489478	7.02232819571765e-08	0.171000268459057	0.120051824484818
Glp1r	-1.28552765243798	3.91876637703739e-08	-1.05198919969166	7.16280609468258e-08	0.233538452746319	0.0962311431653031
Tbc1d31	1.2445628220133	3.91876637703739e-08	0.723451347855354	8.72805739908473e-06	-0.52111147415795	0.000458064671344312
Actg1	-1.17450445094931	3.91876637703739e-08	-0.717024617839845	3.23987285050042e-06	0.45747983310947	0.00131641533727374
Slc7a5	1.08741105193323	4.01581086520738e-08	0.858013420546198	2.08397107055274e-07	-0.229397631387028	0.0461750079961443
Robo2	-1.06128928085073	4.01581086520738e-08	-1.05796311287544	7.92724281408302e-09	0.00332616797528892	0.981407088299206
