genes	logFC_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_TgvDMSO_6h_MGN3	FDR_TgvDMSO_24h_MGN3	FDR_Tg_24hv6h_MGN3	MGN3_DMSO_24h_2	MGN3_DMSO_24h_3	MGN3_DMSO_24h_4	MGN3_Tg_6h_2	MGN3_Tg_6h_3	MGN3_Tg_6h_4	MGN3_Tg_24h_2	MGN3_Tg_24h_3	MGN3_Tg_24h_4	avg_expression
Ablim1	-1.18809186158282	-2.56035453204177	-1.37226267045894	0.0410230201792025	0.00113077558819257	0.0336190148283921	3.02872867365308	2.7437711666868	1.57378946832196	1.26534565261934	1.1600365593744	1.26236213663462	0.434937491573498	0.50521219681923	0.402645870799629	1.37520324627584
Acot7	-0.982663066167226	-1.86870071287231	-0.88603764670508	0.0247830803393557	0.000912717744760233	0.0353367368227727	146.805494276648	107.048727994965	161.836937436965	94.3653684247498	53.0503037733668	92.904191412773	43.9436856990748	43.7368473326955	33.3578658374278	86.3388246876295
Acsl5	-0.890716545046694	-0.00182031699968311	0.888896228047011	0.0243688131896892	0.997105673270596	0.0256625223394103	7.74647546996447	6.9340406482576	9.90238906361567	5.07554309856526	4.14593905409352	5.84103248834827	9.14841162541367	10.3153844513456	6.82590503861088	7.32612454869055
Adgra2	-0.727356371864604	0.0564159985272771	0.783772370391881	0.0281919286473039	0.859392770517731	0.0235985409607464	21.4833257870125	17.6443819637354	23.1971827300933	14.4477056441199	12.6295953834418	15.540664548931	23.3881085830221	23.8772680859284	21.5502623087662	19.306499448339
Aga	-0.8989151722559	-0.723810081152643	0.175105091103257	0.0193202233368494	0.0188980763135826	0.629267620371747	26.2407795193546	24.7121686491764	25.5312441608841	17.7484462660646	14.9063957992272	13.9304911196315	16.3855390076508	19.3619862040558	13.9993259436993	19.2018196299716
Agpat3	-0.613407425214137	-0.293333203411718	0.320074221802419	0.0472525350316294	0.246195169486018	0.27526170405219	14.0850962757994	12.0019562189001	13.5529977701567	10.808315204782	7.53032010171352	11.3122017489769	12.3480413532645	12.8106420239775	9.51993584195741	11.5521673932809
Agt	-1.3004928513239	-1.77594166573683	-0.475448814412933	0.0471638226544794	0.00757656081879471	0.454687458932517	148.832892157049	96.5534442929262	192.487368204839	79.8581845379674	39.323359124616	83.5774563523369	43.1710559147092	63.5224300951888	29.4919167349054	86.3131230460598
Ahsa1	-0.904568955382582	-0.440794695926367	0.463774259456214	0.0403151756278519	0.212542931157562	0.258005359240971	53.1233277770999	71.0889196031554	69.4130142852766	41.1892089433912	31.3429642930408	47.0793748839315	49.2835272901051	50.1928038571271	53.3342217934237	51.7830403029501
Ahsa2	-0.949162091604378	-0.605502719961017	0.343659371643361	0.0192579260345784	0.0471638321129897	0.312851706706293	48.2370425289481	48.2796825161551	52.7057441346537	28.5131502814501	30.7584341625867	28.0002456206239	33.0422869368074	36.4471402507045	34.9596960290587	37.8826024956654
Alkbh1	1.05751202411721	0.191921646358322	-0.865590377758884	0.0166452663574896	0.575346540957046	0.0338720487800333	8.47949331628709	6.1295123424421	8.20092701954561	21.8718838408281	15.1368561769272	16.7958967522775	11.2725291067087	9.58659049805302	7.03853674758926	11.6124695334065
Anpep	-1.73887434038892	-2.96479402650444	-1.22591968611553	0.0257677061917365	0.00138682353886497	0.0796884703087764	357.284163057664	322.465620074214	226.084166517173	112.213443805725	106.398203382748	89.9472043711528	31.3014071455915	32.9315053087096	57.2111926954414	148.426322928713
Arhgap39	1.12533557673055	0.388664793937566	-0.736670782792985	0.0234455060180812	0.294360018102208	0.0886759722938971	2.71195490459191	1.68082252845063	2.95000018737588	7.03906112897232	4.41943241456166	6.71241969460285	4.12537692820587	3.09048126035989	2.96008059854662	3.96551440507418
Armcx2	0.989733448147211	1.53357466119167	0.543841213044455	0.0376147126617762	0.00319266832812654	0.210387535889634	5.74540433460404	3.03784346970589	3.48387135782191	10.4978296996648	8.24674871891484	8.63311705548439	15.3116380364913	13.1849119930225	9.39760065801446	8.6154405915249
Atp5a1	-0.768721554067137	-0.690044615531946	0.0786769385351916	0.0444129820943613	0.0354582328097948	0.869306562360862	557.267090810199	606.262984685218	598.935683302367	454.682705574925	307.229884234712	430.913068963571	425.460975868067	424.882271822878	329.175729400373	459.423377184701
Aurka	-0.709760548227287	-1.22923178429847	-0.519471236071179	0.038423137006733	0.00204883525755237	0.109776590533867	682.744620865232	661.079831889338	875.770618634282	561.60207625875	397.651363460707	592.187460396786	337.979051264476	366.219932689648	305.283399828274	531.168706143055
