genes	logFC_TgvDMSO_6h_GLUTag	logCPM_TgvDMSO_6h_GLUTag	F_TgvDMSO_6h_GLUTag	PValue_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	logCPM_TgvDMSO_24h_GLUTag	F_TgvDMSO_24h_GLUTag	PValue_TgvDMSO_24h_GLUTag	FDR_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	logCPM_Tg_24hv6h_GLUTag	F_Tg_24hv6h_GLUTag	PValue_Tg_24hv6h_GLUTag	FDR_Tg_24hv6h_GLUTag
Extl1	2.4064798646932	3.31043017724429	120.570784125033	1.62280004953054e-07	0.000168490792611169	2.05250737380493	3.31043017724429	86.0630915569565	9.66770376057316e-07	0.000304142000009107	-0.353972490888269	3.31043017724429	3.57430705355281	0.0836721663444497	0.192315414842412
Hhip	2.75901991573585	4.05174996228566	118.01696654316	1.81970908898566e-07	0.000168490792611169	1.7016655378256	4.05174996228566	43.4225840607961	2.8990299991523e-05	0.00195054868800707	-1.05735437791025	4.05174996228566	21.84792379619	0.000573571974889186	0.00854616198623086
Hepacam2	-1.25147636658566	7.59977643892832	117.549117768937	1.85826132685491e-07	0.000168490792611169	-0.924346511468837	7.59977643892832	65.1901692412547	4.00503399206872e-06	0.000622320666459908	0.327129855116823	7.59977643892832	8.19349831315776	0.0145998654189484	0.0605312363627316
Chac1	2.48028338462832	5.30919140087557	116.225289150938	1.97473986100456e-07	0.000168490792611169	1.67031955181724	5.30919140087557	53.6810007760047	1.04894341217095e-05	0.00101589451014365	-0.809963832811087	5.30919140087557	14.4742179099281	0.00261710149917233	0.0205816547265277
Gm2a	-1.4434239220935	6.05164664032663	115.554914991714	2.03674280141884e-07	0.000168490792611169	-0.608308763575795	6.05164664032663	21.5345331730402	0.00060714537840916	0.012194652912934	0.835115158517709	6.05164664032663	39.0917029812968	4.72506196794496e-05	0.00245633736127727
Bhlha15	3.31853226310375	3.94409127701831	113.152204204805	2.28125475896704e-07	0.000168490792611169	3.13348484137529	3.94409127701831	100.806997661255	4.21694155268279e-07	0.000192346946951402	-0.185047421728464	3.94409127701831	0.549049821018632	0.473303287018257	0.626805186953598
Clic4	1.24608626388373	8.02265059495345	112.859402098518	2.31089422587077e-07	0.000168490792611169	0.746009959092346	8.02265059495345	41.1074704680243	3.7446263053667e-05	0.00233102641075229	-0.500076304791383	8.02265059495345	18.7139203088402	0.00104178928134978	0.0119944901331071
Shmt2	1.32585634982412	8.49106614917478	112.374347716268	2.36470150276184e-07	0.000168490792611169	1.28993224019352	8.49106614917478	106.563973012322	3.13819701721247e-07	0.00015847894936923	-0.0359241096306006	8.49106614917478	0.0857961197759962	0.774715958505141	0.859107807486683
Lgals3bp	-1.5649467018578	6.66706618841393	111.845768871543	2.4250210734411e-07	0.000168490792611169	-0.0704286935995283	6.66706618841393	0.24252519959309	0.631490436009189	0.796829802353197	1.49451800825828	6.66706618841393	102.284910202261	3.90078983248212e-07	0.000262653182053796
Cdr2	1.15834394458946	5.96307385049236	111.808217214593	2.42937702337185e-07	0.000168490792611169	0.539434367998332	5.96307385049236	24.3877954016397	0.000368557428263363	0.00898643705936273	-0.618909576591124	5.96307385049236	32.9047105534937	0.000102862678821666	0.00343848292798668
