genes	logFC_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	FDR_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	FDR_Tg_24hv6h_GLUTag
Ero1lb	1.22838000633567	0.000177021750437103	0.984035540564876	0.000636956113190245	-0.244344465770794	0.16418951744989
Herpud1	1.75702483191803	0.000198814722102609	1.15096595095608	0.00214449646385447	-0.606058880961951	0.0287430032193712
Atf3	2.26916924738002	0.000198814722102609	1.19057774911976	0.00770433562084824	-1.07859149826027	0.006393718976456
Stim2	-1.16983865658731	0.000198814722102609	-0.192252603416857	0.316786296652313	0.977586053170454	0.000785654208706497
Ceacam10	-1.1628412624449	0.000198814722102609	-0.484427952974307	0.019116968241823	0.678413309470592	0.00367873568550309
Grn	-1.21785626431006	0.000212064651555181	0.285416660288788	0.155486046286613	1.50327292459885	9.68359612584088e-05
Wdr43	0.876004618118165	0.000212064651555181	-0.00650367388940537	0.973348096959803	-0.88250829200757	0.000344014240263799
Clu	-1.27986332030745	0.000212064651555181	-0.16998229977655	0.423146040482409	1.1098810205309	0.000742190368859095
Naaa	-0.938134203641334	0.000212064651555181	-0.108994546009587	0.504737791345216	0.829139657631747	0.000686967012191205
Arid5a	1.2750933249237	0.000212064651555181	1.01526774816673	0.000839402323002893	-0.259825576756962	0.160462806824314
Skp1a	-1.20799110871118	0.000213400079526362	-0.454791982285038	0.0350492461758565	0.753199126426143	0.00285619799709774
Zfp131	1.16990156186737	0.000214022778257501	0.221248760206318	0.265495431797461	-0.948652801661054	0.000919447316463054
Rnaseh2c	-1.6469346176302	0.000215151340793167	-0.792943906921555	0.0108309753079345	0.85399071070865	0.00678509876503916
Plk3	1.05730282487493	0.000215151340793167	0.170923307890367	0.353341831257269	-0.886379516984559	0.000792233000444084
Ncam1	-1.0364644371051	0.000215151340793167	0.13361029636077	0.462283236864835	1.17007473346587	0.000210179804383671
Ifrd1	0.881938572361598	0.000216444463175626	0.696382936643238	0.000894323911030708	-0.185555635718361	0.167629127776684
Adamts16	-1.08321334447557	0.000218248363954002	-0.95267954916295	0.000537522342317864	0.130533795312622	0.448286570160761
Lrp11	-0.900082140611182	0.000218248363954002	-0.357614462506198	0.0310967577272376	0.542467678104984	0.0035644638581973
Atp2b2	-0.94613278671321	0.000218248363954002	0.0521306204085598	0.782040179977751	0.99826340712177	0.000310113779463309
Atf6	1.39222521446574	0.000218248363954002	1.16814132204626	0.000681456705586397	-0.224083892419474	0.284395751858732
Tars	1.37090723305387	0.000223310038494282	0.630801317403742	0.0163526340871	-0.740105915650132	0.0056548655545149
Cth	1.69213999362737	0.000241773930347041	1.31814052988192	0.00114697249476316	-0.373999463745452	0.136480303128713
Tmppe	-0.929868932268415	0.000241773930347041	-0.0741166216581621	0.677524672973157	0.855752310610253	0.000686967012191205
Tsc22d3	1.3434621455652	0.000255696962897963	0.880432427896621	0.00336129900576064	-0.463029717668577	0.0371346639478679
Wars	0.926974151603279	0.000281705783835278	1.32761262456922	3.03072908042429e-05	0.400638472965943	0.0171711522241136
S100a13	-1.81785101406643	0.000281705783835278	-0.783214890796089	0.0205577223567098	1.03463612327034	0.00577501743319894
Zfp9	1.53580310075551	0.000281705783835278	1.02712178130649	0.00307916362702931	-0.508681319449022	0.0458862111404818
