genes	logFC_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Mknk1	1.49764589671474	1.63036076499506e-05	1.6954828248315	7.14913517080701e-06	0.197836928116761	0.248701186881976
Dusp16	1.3239411098981	1.65495057336854e-05	0.975715307017903	8.16006716125798e-05	-0.348225802880197	0.0390116639986319
Sec24d	2.0712521752812	1.65495057336854e-05	1.47838949519636	9.37149974221816e-05	-0.592862680084845	0.0251456123938566
Dus4l	1.38120536516599	1.66590074116859e-05	1.21371516358629	3.22278614815582e-05	-0.167490201579703	0.29211826201721
Txnip	1.56912765084599	1.66590074116859e-05	1.03250089665761	0.000154618189073674	-0.53662675418838	0.0148314195759136
Uso1	1.13302613578736	1.66590074116859e-05	0.738794537708077	0.000169534405445793	-0.394231598079279	0.0144205872007693
Magee1	-1.21880754095817	1.67816377071836e-05	-1.05593004167557	3.49296609864406e-05	0.162877499282605	0.271759944868885
Gpr119	-2.1366041272199	1.69952970673681e-05	-2.64138705252659	7.14913517080701e-06	-0.504782925306686	0.0946260435400351
Plod2	-1.42442553427898	1.76333491542594e-05	-1.44632196603269	1.48545547373024e-05	-0.0218964317537025	0.915326493718569
Colgalt2	-1.89252938051887	1.76947310372799e-05	-2.22027624755669	7.29223999517536e-06	-0.327746867037825	0.17661155867457
Snhg17	1.49477647650253	1.83426184559038e-05	0.459582627222909	0.0134505078579509	-1.03519384927962	0.000529553267227026
Mgl2	4.60796290878114	1.89390261043195e-05	1.52295569999778	0.0613819478884796	-3.08500720878336	0.000187034229192927
Zfp330	1.130273857227	1.89390261043195e-05	0.414294881430048	0.0057163073438249	-0.71597897579695	0.000991002803919705
Bcat1	1.14997670043983	1.89390261043195e-05	1.13093889141846	1.90625902293107e-05	-0.0190378090213689	0.90977646979646
Magt1	1.17556900498918	2.12090416793205e-05	0.921869574239027	7.56202512166598e-05	-0.253699430750149	0.0924597598454788
Alg12	1.63019150647886	2.50280128082584e-05	0.66609757655631	0.00386294912011405	-0.964093929922547	0.0015936981454421
Rgs4	-1.49712026099185	2.59956911052925e-05	-1.1461153266562	9.73083219310526e-05	0.351004934335657	0.078644365563827
Stard5	1.32689498936331	2.61790934744001e-05	1.92736079610473	2.7195454820299e-06	0.600465806741426	0.00619575142487432
Tuba4a	-1.12867848826075	2.61790934744001e-05	-0.791493214492723	0.000173125355142356	0.337185273768023	0.0364065208533735
L1cam	2.27846078386753	2.79585705646718e-05	4.3112230182327	3.82957726044351e-07	2.03276223436517	6.62956624168543e-05
Gys2	1.85595419551377	2.79585705646718e-05	-0.0575321426177842	0.827872582711943	-1.91348633813156	8.63344170556243e-05
Atf6	1.4104342559128	2.79585705646718e-05	1.44368310888035	2.12429002895101e-05	0.0332488529675565	0.87401602807284
Hspa2	-1.46586547609087	3.32351537535964e-05	-0.948583288693039	0.0003466968631658	0.517282187397834	0.0223082276169946
Trib3	2.83905527314937	3.3681669914795e-05	2.96681411846831	2.15429155119358e-05	0.127758845318934	0.736375741838807
Lgals3bp	-1.35722500562639	3.58525972475786e-05	-0.128440586349574	0.421448093007544	1.22878441927681	0.00020564438334015
Pak3	1.2639646844464	3.58525972475786e-05	0.591454818395182	0.00252154237758876	-0.672509866051221	0.00401237118633519
Cdkn2c	-1.18458879865037	3.62444435220628e-05	-0.707539395180328	0.000615669171508768	0.477049403470043	0.0134394082089606
