genes	logFC_TgvDMSO_6h_PCCL3	logCPM_TgvDMSO_6h_PCCL3	F_TgvDMSO_6h_PCCL3	PValue_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	logCPM_TgvDMSO_24h_PCCL3	F_TgvDMSO_24h_PCCL3	PValue_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	logCPM_Tg_24hv6h_PCCL3	F_Tg_24hv6h_PCCL3	PValue_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Krt80	1.80869619429776	5.13408014970221	128.69099257929	3.28727146170916e-07	0.000164166112177366	-0.179776929380217	5.13408014970221	1.29171535493214	0.281094357170532	0.513860609385518	-1.98847312367798	5.13408014970221	153.099707974549	1.40439534207889e-07	0.000175215873866118
Mid2	1.89667653315992	5.71834179995783	128.668824163297	3.28957243116653e-07	0.000164166112177366	1.07937036158771	5.71834179995783	43.060310186803	5.15711482191299e-05	0.00203085136789487	-0.817306171572218	5.71834179995783	25.5062575330439	0.000434036139514128	0.0111365416670707
Creld2	4.09378825470187	7.99587550030932	125.711746596491	3.68310215146031e-07	0.000167975315421586	1.95226820823424	7.99587550030932	33.8276931841655	0.000141814888522509	0.00360166514591136	-2.14152004646763	7.99587550030932	40.9757587945944	6.37358578806438e-05	0.00390274599697365
Cd44	2.24434105251342	8.5237525965292	125.575868091081	3.70249167345447e-07	0.000167975315421586	1.07616675871178	8.5237525965292	30.8349787792195	0.000206368831743672	0.00463911556223782	-1.16817429380164	8.5237525965292	36.353054414093	0.000105396733290302	0.00533343548155095
Serp1	2.20292672330583	9.28826566605944	121.860724688059	4.28375327935904e-07	0.000173908523342167	2.16101527358957	9.28826566605944	117.631283053866	5.08322713689423e-07	0.000177737097515262	-0.0419114497162674	9.28826566605944	0.0482829610881981	0.830306516139587	0.90571468170374
Hivep1	1.90100989913383	6.63723519783614	121.354607630056	4.37112036183543e-07	0.000173908523342167	0.164578395718436	6.63723519783614	0.958480612171446	0.349665098506274	0.579859861634251	-1.73643150341539	6.63723519783614	102.372298669548	9.91944039971036e-07	0.000341399774584514
Phlpp1	1.64992223668725	5.90169898782161	120.930103813954	4.44605265463803e-07	0.000173908523342167	0.145232050532879	5.90169898782161	0.967810311940912	0.347429592197475	0.578091756454677	-1.50469018615437	5.90169898782161	101.493587633597	1.03370505486019e-06	0.000343913671751984
Ero1b	2.75857759110767	6.1810750956588	120.182806637873	4.58216342286468e-07	0.000173908523342167	1.47274470579325	6.1810750956588	36.837230674944	9.97604741254459e-05	0.00290337056171026	-1.28583288531442	6.1810750956588	29.2054369800422	0.000256202825708839	0.00872750990921474
Hspa5	3.84244223698323	12.9019019066575	119.482467846457	4.71316633943677e-07	0.000173908523342167	2.5710666781696	12.9019019066575	59.8097702725553	1.21282650721359e-05	0.000985020547273847	-1.27137555881363	12.9019019066575	15.9294427781975	0.00233628289337711	0.0268955473573206
Prrc1	2.13854056612954	6.30324761569538	118.633973301413	4.87870819915907e-07	0.000173908523342167	1.46077699458128	6.30324761569538	57.3682889645297	1.46307246601036e-05	0.00103970461929832	-0.677763571548262	6.30324761569538	12.9790254376467	0.00449127097824377	0.0397053814294517
Cited2	2.468215933791	8.57213946119409	116.964757010424	5.22487947211414e-07	0.000179825937969556	2.24290174492461	8.57213946119409	98.2103062042191	1.20941936367566e-06	0.000296218685962793	-0.225314188866392	8.57213946119409	1.08917659001873	0.320167817486514	0.511416657326545
Bmp2	1.95440459210221	6.25078882632534	115.333966190144	5.59182004949184e-07	0.000186039853046593	-0.0521879547919834	6.25078882632534	0.0863124672772755	0.774664259084963	0.893127764665974	-2.00659254689419	6.25078882632534	121.034865274724	4.42741845513774e-07	0.000276187897504561
Pik3ip1	-5.51785483410052	3.33435886641292	114.711944908213	6.00709803407743e-07	0.0001934091789617	-3.45130298421071	3.33435886641292	68.0131148994723	6.9893463381078e-06	0.000737173992862285	2.06655184988981	3.33435886641292	12.8049339447395	0.00471953014823838	0.0406083020772132
RGD1304884	2.10230308763016	6.09177429949162	111.170948296092	6.67730018341636e-07	0.000202014033898812	1.32817380556623	6.09177429949162	46.094782861356	3.84429135194875e-05	0.00169778194618586	-0.774129282063927	6.09177429949162	16.3366261341733	0.00214815879909874	0.026012134709097
Tshr	-3.03102802756431	7.1014166840289	111.163780275097	6.67915351033043e-07	0.000202014033898812	-3.27553145618414	7.1014166840289	127.193552127071	3.47922178484114e-07	0.000166077247593367	-0.244503428619825	7.1014166840289	0.815169520265777	0.386910936836683	0.575437052684687
Lysmd3	2.27326115353892	5.12407536570179	110.185210305167	6.97109339144452e-07	0.000204642597470611	0.830465647289152	5.12407536570179	15.3806703651941	0.00262219041388845	0.0245056952444013	-1.44279550624977	5.12407536570179	47.4403066894099	3.39243021817515e-05	0.00259321018542987
