genes	logFC_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Grin2a	-3.95777672709315	0.000349433537161955	-5.19626912923466	0.000166077247593367	-1.23849240214151	0.327312988128905
Nfkb2	2.382921189648	0.000349433537161955	0.608777423157991	0.126627576031974	-1.77414376649001	0.0021896919080951
Large1	-1.6501395764547	0.000356781567339751	-2.7990086655971	6.67110110232897e-05	-1.1488690891424	0.0036053364233963
Atp2a2	1.65144588559761	0.000357186495366583	0.554120443279452	0.0562466320353615	-1.09732544231816	0.00431695817208268
Il6	3.8140233136318	0.000357186495366583	2.2204717330563	0.00969695734227469	-1.5935515805755	0.0129458665212163
Carnmt1	2.60506220352066	0.000357186495366583	0.387441287951405	0.387754725198403	-2.21762091556925	0.00120264456615351
Hsp90b1	2.75819765736041	0.000357186495366583	1.93729887570101	0.00179372352715708	-0.820898781659397	0.0777785481195966
Srf	1.7646486147661	0.000357186495366583	-0.808631319342051	0.016669637138875	-2.57327993410815	0.000139851173879812
Fermt2	2.0495338501966	0.000357186495366583	0.0564952612875036	0.904050441815162	-1.99303858890909	0.000620091169107716
Ssr3	1.39298299619391	0.000382792275556742	1.07736276007815	0.00139188214264048	-0.315620236115765	0.182961540417469
Oma1	-2.95691518456912	0.000393089550422062	-0.0771512550775064	0.892874111599987	2.87976392949162	0.00066739406829072
Armcx3	1.62007801236228	0.000403715461083951	1.36564925992771	0.000995775987082395	-0.254428752434565	0.351822773285021
Ddx50	1.53081826866158	0.000405155190341197	0.483090698260063	0.0776926015952933	-1.04772757040151	0.0043127371798566
Cln6	-2.18788410391711	0.000421425758878415	-0.316999052934357	0.39343196678281	1.87088505098275	0.00146462940076067
Mertk	-1.99986695076654	0.00042355987161532	-1.97173506325328	0.000463450502923884	0.0281318875132602	0.950335074490513
Tmem263	1.75647189485477	0.000427866301196744	1.03292573358674	0.00584969805894116	-0.723546161268033	0.0326654583026265
Nedd9	1.90667604586333	0.000428462550727103	0.871363545421843	0.0187832349280504	-1.03531250044148	0.0120708356154231
Slc29a3	-2.73334074641072	0.000428462550727103	-1.23572503684472	0.0160446621130361	1.497615709566	0.0119886918325997
Atp2b4	2.56114717444843	0.000428462550727103	0.047764824898371	0.9376140489977	-2.51338234955006	0.000695260419992986
Stx5	1.68189407571127	0.000428462550727103	1.07074343723515	0.00392378960902487	-0.611150638476117	0.0517889789647383
Srgap2	1.53344876617515	0.000428462550727103	1.08700089974509	0.00236384060878163	-0.446447866430059	0.103736422071665
Agfg2	-2.11381138989494	0.000428462550727103	-1.33107268733547	0.00393891066292061	0.782738702559475	0.0487685207004599
Dyrk3	1.8061191918044	0.000428462550727103	1.62360106471593	0.000839712466212626	-0.182518127088468	0.556218036830665
Prkaa2	1.39386555584029	0.000442771781202456	0.494080283412227	0.0582268583180336	-0.899785272428067	0.0064788327557712
Col17a1	-2.34284220856301	0.000442771781202456	-1.58187303585883	0.00268080910689967	0.760969172704176	0.0788594861802347
Atxn1	1.78921863832685	0.000442771781202456	-0.205590093827996	0.563492754907543	-1.99480873215484	0.000426568464715782
Pld1	-1.53746206412854	0.000452008392274065	-0.646342204043474	0.0283560765333585	0.891119860085061	0.0106617970431693
Ppp1r1b	-2.25363749743196	0.000452008392274065	-2.26918099729425	0.000464933654877453	-0.0155434998622882	0.975409310224677
Clec2d	1.96405580115881	0.000457998898661725	1.5980144013682	0.00139076137886181	-0.366041399790603	0.270074532097587
Pdk2	-1.96606491855688	0.000457998898661725	-0.669420978478475	0.0629774599910967	1.29664394007841	0.00614434910492773
Nptx1	-2.47321724250566	0.000472329704104002	-3.26916553341246	0.000166077247593367	-0.7959482909068	0.100835389205012
Myo1d	1.60236786703584	0.000480826387773784	0.248380090237649	0.418750221188036	-1.35398777679819	0.00186336035014897
Rimbp2	-1.76961243753468	0.000480826387773784	-1.27515328609683	0.00238767758962459	0.494459151437856	0.125988901700347
Cdr2	2.07703156081939	0.000480826387773784	0.839393458836934	0.0363400596884945	-1.23763810198245	0.00949505191599192
Cyr61	2.02915989339529	0.000480826387773784	-0.88126965869168	0.0281889389869072	-2.91042955208697	0.000199951086714686
Areg	4.013052827764	0.000490012825790163	1.22918736578392	0.242379500840738	-2.78386546198008	0.00256969796225182
Ankrd6	-1.36764199307679	0.000497362209663059	-0.556320117186417	0.0362668334005077	0.81132187589037	0.0106617970431693
Piga	2.23811691964788	0.00050831473334304	0.604280427348251	0.159621241529994	-1.63383649229963	0.00379802653613672
Uso1	2.05164315847691	0.00050831473334304	1.58584018618213	0.00179372352715708	-0.465802972294784	0.203012162554892
Stat5a	-2.03003268385045	0.000512409089628824	-1.2020206733694	0.0067740922022624	0.828012010481054	0.0411702150405325
Bcar1	1.76586841163793	0.000512409089628824	1.06770770924878	0.00650519376889068	-0.69816070238915	0.0457383849597924
Elovl7	-1.63151767218781	0.000512409089628824	-1.97507535228353	0.000250373306760699	-0.34355768009572	0.249192190307014
Shroom4	3.73930317495509	0.000516058084118355	-0.286698506660322	0.852338364819116	-4.02600168161542	0.00066739406829072
Acsl4	1.89893985132017	0.000528202024506428	0.909010638800575	0.0197579181358209	-0.989929212519593	0.0179225043797669
Rdh10	-2.27908178301661	0.000528202024506428	-1.73566805377442	0.00200291846517049	0.543413729242194	0.191283011769626
Sdc4	2.31388116419268	0.000528202024506428	1.22241592015159	0.0123714866490534	-1.09146524404109	0.0239858821974951
Enah	2.62623160328603	0.000528202024506428	0.31140216797344	0.546362288239219	-2.31482943531259	0.00167417693861155
Tmem39a	1.88127675845942	0.000528202024506428	1.11878778917518	0.00750494529981958	-0.762488969284239	0.0428117172495365
Hspa4l	2.74397521710877	0.000538087394319608	1.80299685436455	0.00401648368691778	-0.940978362744226	0.0689155184529749
Schip1	1.78950938759876	0.000558909732471318	0.781043725500999	0.0315045675753986	-1.00846566209776	0.0139274163525662
Ero1a	2.39883579158068	0.000558909732471318	1.52244802283178	0.00522142467406677	-0.876387768748901	0.059387124255251
Magt1	1.24360370277112	0.000558909732471318	1.20506805118204	0.000803769073461967	-0.0385356515890771	0.885725837742951
Irak3	1.52514796721013	0.000558909732471318	0.857431412504527	0.0108753703855599	-0.667716554705598	0.0351610687928364
Olfml3	-1.90274619215771	0.000569317734474895	-1.47910404075652	0.00206329481590042	0.423642151401186	0.226828398678539
Calr	1.97437980057074	0.000569317734474895	1.67246753676022	0.00139541648096308	-0.301912263810518	0.402842585328425
Plk3	2.73165467775693	0.000580760400498946	2.22032285899133	0.00171123353556744	-0.511331818765603	0.271539042628342
Dstn	1.90622991875424	0.000589825982517001	0.235414366462912	0.549716208163199	-1.67081555229133	0.00196370286055965
Herpud1	2.2243659315149	0.000589825982517001	0.928060870224597	0.0368899920230144	-1.2963050612903	0.0124826356748659
Pdia5	1.45224374925958	0.000589825982517001	1.40772599943985	0.000839712466212626	-0.0445177498197269	0.887206209279096
Sfi1	-1.71657000660998	0.000589825982517001	-0.574709186919663	0.0761478285849718	1.14186081969032	0.00832428386032212
