Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Tsc1	38.6099326756892	33.777538888986	33.7631387250328	42.5502253953192	38.4302134667877	37.4618626211976	45.1666344248431	47.6228940775782	47.1082642386866	34.9297987822277	41.2959557007546	31.6846003258536	32.2880520671123	59.9962329530346	38.9638834198075	42.8147359021462	54.0325270269034	42.2081096510683
LOC686288	0.0364709933762308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223768868084348
Fam129c	2.31073896221922	0.0981714512128689	0.568387024502354	1.75896601043642	0	0	0.737519406537777	0.157211320485568	0.595975349387689	0.0539667407255004	0	0	0.0425775231818743	0.0705083476695148	0.0472472566751309	0.0710614888835311	0.129464316034814	0.193331016146104
Mtf2	26.7764601925119	20.9212783287414	19.8485940497143	31.3938999114914	36.3773562525313	29.0439446606612	23.7269968084494	22.1121390801893	20.516687595556	26.3369014455329	19.3988021021749	20.3986875937886	27.1302995328421	25.0558641750894	23.8379876793344	31.1206840923224	30.1651630064462	24.4114116622195
Atf1	144.051888957525	127.638127806598	120.75805853489	165.902163056749	140.579333853107	130.59740019774	176.209887797638	151.217668802886	143.667948748706	144.64910048139	196.33369750765	139.37951904023	194.466907386832	167.560673567161	155.352863283996	167.309246110166	178.183886044627	169.29264368191
Psmf1	51.392999629324	42.1943415933521	52.9374861909983	50.3340926176641	28.2278812804012	42.736961710173	37.194341782918	34.2971445182013	50.3185344627473	23.2409138419422	31.8568038163069	28.4907058155259	24.8020127898841	32.3223164065097	35.9555575940525	30.8846785082248	29.1242001122556	40.0955372783187
Pdpr	42.7382515725529	15.2102237350511	31.764216377656	40.0727168926342	13.3259734645801	26.3401156685542	36.7574722564513	16.6976568332694	30.5065711712166	37.600753016834	27.2289204081954	45.30890701334	47.1501865217963	24.58504007785	46.3173328505897	42.5717426859668	29.2571805163185	36.5093453945409
Zfp612	47.3446455201976	44.7217477157441	48.8350452587817	41.7076466746198	67.9460009778685	64.0478752623942	57.5584506834862	41.7453252841396	49.1031986120686	24.6878119713053	97.1176902422491	31.2035457210682	42.1370134370827	94.3331881572893	51.0359475828662	59.2633385104043	103.194474225385	69.302621616843
Psmd7	34.4788194493546	43.3232969488986	48.8166299639652	42.892377220934	53.1226000469212	73.2068018100589	37.9910217730222	34.5730614354205	40.3272825680382	61.5087101227514	60.8183486636719	62.4411499473287	60.0581726519804	71.3342972881946	59.8996061420746	69.6858973307275	70.4321376959067	65.0259587685675
RGD1566099	3.18965613515429	3.41543207864434	4.11333109696317	3.44501244494894	0.811219640887503	2.45773103716459	3.1446070539749	1.69954896280394	5.16329266488582	1.84570638274654	3.659728896037	2.24760572805651	3.51493145524654	4.1992365667179	3.59397240212964	4.23217976974605	3.61347955174592	2.85003355200873
Nek7	23.541543292771	27.1015602456339	38.8732059523478	29.6476808832322	30.626029014882	47.279749514914	27.0492694466897	29.9487565525008	40.3608182180505	28.8090926422095	30.6156610904789	34.754796714421	40.4634409079539	40.3334637446279	45.4606697320426	43.097287467843	35.6474874144164	43.0718566395333
Ube2t	10.4334091637207	10.3984341705846	0.653505715082299	13.8707555295426	13.1638279982246	1.04590757188169	4.90298570040499	4.99836324204946	4.32438800435057	12.2287290913675	7.2498255021347	4.49119020245019	10.7025052980696	8.39722238510547	5.37795329922072	11.009518140802	9.50586816185911	5.84111025822336
Kmt5b	50.7340770147838	53.8065913043448	34.4555416564061	49.7336722440762	55.324292084577	54.2895336029199	50.2330297589364	62.3570104329201	40.4517551771478	33.2196822125215	62.6084688414174	37.5645962673839	35.6105992334046	60.1449887706539	52.7021042444164	48.5059165482667	73.8316924797763	59.9973643609944
Ulk1	26.1319265932293	11.0431665230375	19.8471676914596	29.6242112976868	10.3042911402281	17.757680850449	17.5554386031934	12.5448604629335	15.9847257618277	21.7549330327613	4.84481486656813	14.8728181118478	13.0816000893467	8.80637594344166	12.1426566611509	13.6545574857055	6.91884238364778	8.08760466755878
Niacr1	0	0	0	0	0	0	0	0	0	0.114767574206402	0.274974397691948	0.0683086918921449	0.249003871837063	0.0749727694738117	0.0502388412160471	0.302243737124721	0.298266995672043	0.0685240929371852
Glod4	112.288745173567	70.5696065658888	113.736254699897	81.7052261465802	65.1610252537152	94.2658522378538	98.735760648877	38.6632754574956	99.1983415600097	123.918789419102	92.2147163137386	121.495674558256	138.293946168459	73.3636524215231	110.225517294909	124.958895067502	94.6121059698552	126.063364677477
Naa60	73.5925703312739	55.2749442974084	75.0113342923177	78.6534469428627	52.488392530598	71.4141976420631	71.6133062907638	57.9846550699167	77.5440673430047	44.7603814738746	43.5242808758824	52.5827639519283	43.4573804653315	53.9411520756899	44.8735267327896	51.2483190096246	46.2609645270846	35.2926450509358
Sumf2	17.7856877698085	4.17562109392619	10.7816398386142	18.3510450757064	3.48648401409122	7.96409873059991	11.0180685091905	3.36443815931201	13.0241145985037	41.7506485531853	16.0216243728179	43.3751560505087	50.3660485598768	24.7841854500123	37.1588850918598	54.8617146468029	25.6283442252803	25.1348646204736
Zfand2b	6.21920747928772	7.06029040128408	6.80192983653861	5.14050997147053	4.01128793597218	4.03503711573366	6.66074785996038	5.61986560620546	7.08336207770344	8.74979316463111	15.9824638812157	9.20752643273154	13.1788829432945	15.9112544607848	10.6860578729166	10.6546020250986	12.458279675154	9.72786739771872
Wdr61	81.7937789986897	71.9487032903299	60.6964498611324	59.8934046574514	58.3881178142089	48.9201039963063	80.4317174784307	46.0720763010772	55.5196291097208	97.8774210416577	94.0285983399213	93.0721585183345	109.5723409188	85.799567779573	106.734937303095	100.126248680639	117.276617041829	133.482233310182
Thsd1	0.127247923042436	0.137713585886158	0.151557766566302	0.10414577572596	0.101570596168014	0.17717545613299	0.217045229951159	0.173753995311776	0.22216080069865	0.116996805047175	0.362761190779617	0.109232174558293	0.162892294035839	0.21579961711729	0.415742648669937	0.27186571873604	0.64939617257779	0.501313043666412
Tpte2	0	0	0	0.00821538654820169	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168553921486628
Lsm1	19.4375210614801	18.1276846566264	18.1579362179473	20.3893594068042	13.7823588239984	15.5530112567895	18.0442205680589	13.1293899377923	18.4595628942574	21.422851709871	35.1719774103334	29.8561486646509	37.751843292662	35.560142805429	45.1975806497625	35.4344785977377	37.2456433258459	46.6553610995338
Sgcz	0	0	0	0	0	0.0473025990754844	0	0	0	0	0	0	0	0	0.0337812897832042	0	0.0925656193464962	0.138229635752598
